sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AC;ACRELÂNDIA;11;Prefeito;15;OLAVO FRANCELINO DE REZENDE;OLAVINHO;MDB;PL / MDB / PSDB;1;Eleito;2020-11-15 23:58:14;01120;10001072604;Válido;2030402020;2020;0,3852;2638;6849
AC;ACRELÂNDIA;11;Prefeito;11;EDERALDO CAETANO DE SOUSA;CAETANO;PP;PP / SOLIDARIEDADE / PSD;1;Não Eleito;2020-11-15 23:58:14;01120;10000854328;Válido;2030402020;2020;0,3511;2405;6849
AC;ACRELÂNDIA;11;Prefeito;12;WILSON JOSÉ DOS SANTOS;HADAMÉS WILSON;PDT;PDT;1;Não Eleito;2020-11-15 23:58:14;01120;10001115585;Válido;2030402020;2020;0,1806;1237;6849
AC;ACRELÂNDIA;11;Prefeito;90;ROSANGELA SILVA DOS SANTOS;ROSA DO EURICO;PROS;PSL / PROS;1;Não Eleito;2020-11-15 23:58:14;01120;10000702299;Válido;2030402020;2020;0,0831;569;6849
AC;ASSIS BRASIL;11;Prefeito;13;JERRY CORREIA MARINHO;PROFESSOR JERRY;PT;PT;1;Eleito;2020-11-15 23:00:50;01570;10000884961;Válido;2030402020;2020;0,3322;1583;4765
AC;ASSIS BRASIL;11;Prefeito;55;JOSE FERREIRA DO NASCIMENTO FILHO;ZE DO POSTO;PSD;PP / PSD;1;Não Eleito;2020-11-15 23:00:50;01570;10000650671;Válido;2030402020;2020;0,2271;1082;4765
AC;ASSIS BRASIL;11;Prefeito;45;ANTONIO BARBOSA DE SOUSA;ZUM;PSDB;PSDB / PSL;1;Não Eleito;2020-11-15 23:00:50;01570;10001217602;Válido;2030402020;2020;0,2023;964;4765
AC;ASSIS BRASIL;11;Prefeito;65;JESUS SEBASTIAN LOPEZ CARDOSO;PILIQUE;PC do B;PC do B / PSB;1;Não Eleito;2020-11-15 23:00:50;01570;10000750117;Válido;2030402020;2020;0,1572;749;4765
AC;ASSIS BRASIL;11;Prefeito;15;JOÃO BATISTA DOS SANTOS JÚNIOR;JOÃO JÚNIOR;MDB;PL / MDB;1;Não Eleito;2020-11-15 23:00:50;01570;10001156357;Válido;2030402020;2020;0,0812;387;4765
AC;BRASILÉIA;11;Prefeito;13;FERNANDA DE SOUZA HASSEM CESAR;FERNANDA HASSEM;PT;SOLIDARIEDADE / PC do B / DC / PROS / PSB / PT / PP;1;Eleito;2020-11-15 23:07:17;01058;10001211015;Válido;2030402020;2020;0,5946;7651;12868
