sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AC;ACRELÂNDIA;11;Prefeito;10;OLAVO FRANCELINO DE REZENDE;OLAVINHO BOIADEIRO;REPUBLICANOS;REPUBLICANOS / PL / UNIÃO;1;Eleito;2024-10-06 19:13:58;01120;10001917321;Válido;2045202024;2024;0,7387;5768;7808
AC;ACRELÂNDIA;11;Prefeito;11;SIONAYTON RODRIGUES STAUT;SIONAYTON STAUT;PP;PP / PDT;1;Não Eleito;2024-10-06 19:13:58;01120;10001984404;Válido;2045202024;2024;0,2613;2040;7808
AC;ASSIS BRASIL;11;Prefeito;11;JERRY CORREIA MARINHO;JERRY CORREIA;PP;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / PDT / UNIÃO / MDB / PSD;1;Eleito;2024-10-06 18:48:48;01570;10001950171;Válido;2045202024;2024;0,7588;4378;5770
AC;ASSIS BRASIL;11;Prefeito;22;SERGIO BATISTA DA SILVA;SERJÃO;PL;PL / PODE;1;Não Eleito;2024-10-06 18:48:48;01570;10002077955;Válido;2045202024;2024;0,2412;1392;5770
AC;BRASILÉIA;11;Prefeito;11;CARLOS ARMANDO DE SOUZA ALVES;CARLINHOS DO PELADO;PP;PP / REPUBLICANOS / PSD / UNIÃO / PL / SOLIDARIEDADE;1;Eleito;2024-10-06 19:12:21;01058;10002258405;Válido;2045202024;2024;0,5237;7891;15068
AC;BRASILÉIA;11;Prefeito;15;ANA LEILA GALVÃO MAIA MOREIRA;LEILA GALVÃO;MDB;MDB / PODE / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);1;Não Eleito;2024-10-06 19:12:21;01058;10002195313;Válido;2045202024;2024;0,4763;7177;15068
AC;BUJARI;11;Prefeito;12;JOÃO EDVALDO TELES DE LIMA;PADEIRO;PDT;PDT / PP / PL;1;Eleito;2024-10-06 19:09:59;01007;10002175016;Válido;2045202024;2024;0,4979;4463;8963
AC;BUJARI;11;Prefeito;44;MICHEL MARQUES ABRAHÃO;MICHEL MARQUES;UNIÃO;UNIÃO / REPUBLICANOS / MDB / Federação PSDB CIDADANIA(PSDB/CIDADANIA) / PSD;1;Não Eleito;2024-10-06 19:09:59;01007;10002176068;Válido;2045202024;2024;0,4854;4351;8963
AC;BUJARI;11;Prefeito;20;ROBERTO GOMES DE OLIVEIRA  FILHO;ROBERTINHO DA SUMAIA;PODE;PODE;1;Não Eleito;2024-10-06 19:09:59;01007;10002175901;Válido;2045202024;2024;0,0166;149;8963
AC;CAPIXABA;11;Prefeito;44;MANOEL MAIA BESERRA;MANOEL MAIA;UNIÃO;REPUBLICANOS / PP / PDT / PL / UNIÃO / SOLIDARIEDADE;1;Eleito;2024-10-06 20:05:13;01015;10002273631;Válido;2045202024;2024;0,6582;4481;6808
AC;CAPIXABA;11;Prefeito;15;SARA FRANK DE LIMA RODRIGOS;SARA FRANK;MDB;PODE / PSD / MDB;1;Não Eleito;2024-10-06 20:05:13;01015;10002008603;Válido;2045202024;2024;0,3418;2327;6808
AC;CRUZEIRO DO SUL;11;Prefeito;11;JOSÉ DE SOUZA LIMA;ZEQUINHA LIMA;PP;PP / REPUBLICANOS / PDT / PL / SOLIDARIEDADE / Federação PSDB CIDADANIA(PSDB/CIDADANIA) / UNIÃO;1;Eleito;2024-10-06 19:14:37;01074;10002077093;Válido;2045202024;2024;0,502;24478;48759
