sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AC;RIO BRANCO;11;Prefeito;13;MARCUS ALEXANDRE MEDICI AGUIAR;MARCUS ALEXANDRE;PT;PRB / PT / PTN / PR / PSDC / PSB / PV / PPL / PC do B;2;Eleito;2012-10-28 18:51:53;01392;10000000003;#NULO#;1689;2012;;90557;0
AC;RIO BRANCO;11;Prefeito;45;SEBASTIÃO BOCALOM RODRIGUES;TIÃO BOCALOM;PSDB;PP / PDT / PPS / DEM / PRP / PSDB / PT do B;2;Não Eleito;2012-10-28 18:51:53;01392;10000001227;#NULO#;1689;2012;;87818;0
AM;MANAUS;11;Prefeito;45;ARTHUR VIRGILIO DO CARMO RIBEIRO NETO;ARTUR NETO;PSDB;PPS / PSDB;2;Eleito;2012-10-28 18:18:02;02550;40000003089;#NULO#;1689;2012;;603483;0
AM;MANAUS;11;Prefeito;65;VANESSA GRAZZIOTIN;VANESSA GRAZZIOTIN;PC do B;PP / PT / PMDB / PSL / PTN / PV / PSD / PC do B;2;Não Eleito;2012-10-28 18:18:02;02550;40000005359;#NULO#;1689;2012;;311607;0
AP;MACAPÁ;11;Prefeito;50;CLECIO LUIS VILHENA VIEIRA;CLÉCIO;PSOL;PCB / PPS / PRTB / PMN / PTC / PV / PSOL;2;Eleito;2012-10-28 18:39:42;06050;30000000648;#NULO#;1689;2012;;101261;0
AP;MACAPÁ;11;Prefeito;12;ANTÔNIO ROBERTO RODRIGUES GÓES DA SILVA;ROBERTO;PDT;PP / PDT / PMDB / PSL / PSC / PR / PSDC / PHS / PSD / PT do B;2;Não Eleito;2012-10-28 18:39:42;06050;30000000478;#NULO#;1689;2012;;98892;0
BA;SALVADOR;11;Prefeito;25;ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO;ACM NETO;DEM;PTN / PPS / DEM / PV / PSDB;2;Eleito;2012-10-28 20:49:52;38490;50000006657;#NULO#;1689;2012;;717865;0
BA;SALVADOR;11;Prefeito;13;NELSON VICENTE PORTELA PELLEGRINO;PELEGRINO;PT;PP / PDT / PT / PTB / PR / PSDC / PHS / PMN / PTC / PSB / PRP / PPL / PSD / PC do B / PT do B;2;Não Eleito;2012-10-28 20:49:52;38490;50000018141;#NULO#;1689;2012;;623734;0
BA;VITÓRIA DA CONQUISTA;11;Prefeito;13;GUILHERME MENEZES DE ANDRADE;GUILHERME;PT;PP / PT / PTB / PSL / PTN / PSC / PR / PSB / PPL / PSD / PC do B;2;Eleito;2012-10-28 20:51:51;39659;50000022622;#NULO#;1689;2012;;91072;0
BA;VITÓRIA DA CONQUISTA;11;Prefeito;15;HERZEM GUSMÃO PEREIRA;HERZEM GUSMÃO;PMDB;PMDB / DEM / PMN / PRP / PSDB;2;Não Eleito;2012-10-28 20:51:51;39659;50000034053;#NULO#;1689;2012;;70760;0
CE;FORTALEZA;11;Prefeito;40;ROBERTO CLAUDIO RODRIGUES BEZERRA;ROBERTO CLAUDIO;PSB;PRB / PP / PTB / PMDB / PSL / PSDC / PHS / PMN / PTC / PSB / PRP / PSD / PT do B;2;Eleito;2012-10-28 19:09:03;13897;60000013704;#NULO#;1689;2012;;650607;0
CE;FORTALEZA;11;Prefeito;13;ELMANO DE FREITAS DA COSTA;ELMANO;PT;PT / PTN / PSC / PR / PV;2;Não Eleito;2012-10-28 19:09:03;13897;60000014231;#NULO#;1689;2012;;576435;0
ES;CARIACICA;11;Prefeito;23;GERALDO LUZIA DE OLIVEIRA JUNIOR;JUNINHO;PPS;PTB / PPS / PRB / PRTB / PMN / PDT;2;Eleito;2012-10-28 18:24:10;56251;80000011348;#NULO#;1689;2012;;153241;0
ES;CARIACICA;11;Prefeito;15;ALEXANDRE MARCELO COUTINHO SANTOS;MARCELO SANTOS;PMDB;PMDB / PSC / PSDB / PTN / DEM / PSDC / PSL / PR;2;Não Eleito;2012-10-28 18:24:10;56251;80000005446;#NULO#;1689;2012;;26131;0
ES;VILA VELHA;11;Prefeito;25;RODNEY ROCHA MIRANDA;RODNEY MIRANDA;DEM;PRB / PDT / PMDB / DEM;2;Eleito;2012-10-28 18:11:40;57037;80000003899;#NULO#;1689;2012;;121945;0
ES;VILA VELHA;11;Prefeito;22;NEUCIMAR FERREIRA FRAGA;NEUCIMAR;PR;PR / PSDC / PSD / PPS / PSL / PV / PTC / PSB / PSC / PMN / PRTB / PC do B / PP / PRP / PHS;2;Não Eleito;2012-10-28 18:11:40;57037;80000002348;#NULO#;1689;2012;;97277;0
ES;VITÓRIA;11;Prefeito;23;LUCIANO SANTOS REZENDE;LUCIANO REZENDE;PPS;PP / PTN / PSC / PR / PPS / PHS / PRP;2;Eleito;2012-10-28 17:44:09;57053;80000007960;#NULO#;1689;2012;;98937;0
ES;VITÓRIA;11;Prefeito;45;LUIZ PAULO VELLOZO LUCAS;LUIZ PAULO;PSDB;PTB / PMDB / DEM / PMN / PTC / PSDB / PT do B;2;Não Eleito;2012-10-28 17:44:09;57053;80000007788;#NULO#;1689;2012;;88687;0
MA;SÃO LUÍS;11;Prefeito;36;EDIVALDO DE HOLANDA BRAGA JÚNIOR;EDIVALDO HOLANDA JÚNIOR;PTC;PDT / PTC / PSB / PC do B;2;Eleito;2012-10-28 18:56:36;09210;100000015748;#NULO#;1689;2012;;280809;0
MA;SÃO LUÍS;11;Prefeito;45;JOAO CASTELO RIBEIRO GONÇALVES;CASTELO;PSDB;PMN / PRP / PSDB;2;Não Eleito;2012-10-28 18:56:36;09210;100000017899;#NULO#;1689;2012;;220085;0
MG;CONTAGEM;11;Prefeito;65;CARLOS MAGNO DE MOURA SOARES;CARLIN MOURA;PC do B;PDT / PMDB / PTC / PSD / PC do B / PT do B;2;Eleito;2012-10-28 19:14:10;43710;130000033968;#NULO#;1689;2012;;205446;0
MG;CONTAGEM;11;Prefeito;13;DURVAL ANGELO ANDRADE;DURVAL;PT;PT / PSL / PTN / PR / PPS / PSDC / PRTB / PHS / PSB / PV / PRP / PPL;2;Não Eleito;2012-10-28 19:14:10;43710;130000021662;#NULO#;1689;2012;;106322;0
MG;JUIZ DE FORA;11;Prefeito;15;BRUNO DE FREITAS SIQUEIRA;BRUNO SIQUEIRA;PMDB;PMDB / PTN / PMN / PSD;2;Eleito;2012-10-28 19:36:27;47333;130000060089;#NULO#;1689;2012;;163686;0
MG;JUIZ DE FORA;11;Prefeito;13;MARIA MARGARIDA MARTINS SALOMÃO;MARGARIDA SALOMÃO;PT;PRB / PT / PRTB / PSB / PC do B / PT do B;2;Não Eleito;2012-10-28 19:36:27;47333;130000071734;#NULO#;1689;2012;;122684;0
MG;MONTES CLAROS;11;Prefeito;10;RUY ADRIANO BORGES MUNIZ;RUY MUNIZ;PRB;PRB / PMDB / PSD / PTC / PSC;2;Eleito;2012-10-28 19:24:08;48658;130000067120;#NULO#;1689;2012;;105610;0
MG;MONTES CLAROS;11;Prefeito;13;PAULO JOSE CARLOS GUEDES;PAULO GUEDES;PT;PT / PTN / PC do B;2;Não Eleito;2012-10-28 19:24:08;48658;130000065756;#NULO#;1689;2012;;82478;0
