sg_uf;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AC;3;Governador;13;SEBASTIÃO AFONSO VIANA MACEDO NEVES;TIÃO VIANA;PT;PDT / PRB / PT / PSL / PTN / PSDC / PHS / PSB / PRP / PEN / PPL / PC do B / PROS / PTB;2;Eleito;2014-10-26 19:19:11;AC;10000000152;#NE;680;2014;0,5129;196509;383167
AC;3;Governador;45;MÁRCIO MIGUEL BITTAR;MÁRCIO BITTAR;PSDB;PMDB / PSDB / PT do B / PSC / PTC / PPS / PR / SD / PP / PSD;2;Não Eleito;2014-10-26 19:19:11;AC;10000000003;#NE;680;2014;0,4871;186658;383167
AM;3;Governador;90;JOSÉ MELO DE OLIVEIRA;JOSÉ MELO;PROS;PROS / DEM / PSL / PTN / PSC / PR / PRTB / PHS / PTC / PV / PRP / PSDB / PEN / PSD / SD / PT do B;2;Eleito;2014-10-27 00:17:08;AM;40000000487;#NE;680;2014;0,5554;869992;1566457
AM;3;Governador;15;CARLOS EDUARDO DE SOUZA BRAGA;EDUARDO BRAGA;PMDB;PMDB / PP / PT / PDT / PTB / PPS / PRB / PSDC / PPL / PC do B;2;Não Eleito;2014-10-27 00:17:08;AM;40000000072;#NE;680;2014;0,4446;696465;1566457
AP;3;Governador;12;ANTÔNIO WALDEZ GÓES DA SILVA;WALDEZ;PDT;PP / PDT / PMDB;2;Eleito;2014-10-26 19:15:08;AP;30000000088;#NE;680;2014;0,6058;220256;363567
AP;3;Governador;40;CARLOS CAMILO GÓES CAPIBERIBE;CAMILO CAPIBERIBE;PSB;PSB / PT / PSOL / PC do B;2;Não Eleito;2014-10-26 19:15:08;AP;30000000460;#NE;680;2014;0,3942;143311;363567
CE;3;Governador;13;CAMILO SOBREIRA DE SANTANA;CAMILO;PT;PRB / PP / PDT / PT / PTB / PSL / PRTB / PHS / PMN / PTC / PV / PEN / PPL / PSD / PC do B / PT do B / SD / PROS;2;Eleito;2014-10-26 20:30:42;CE;60000000764;#NE;680;2014;0,5335;2417668;4531608
CE;3;Governador;15;EUNÍCIO LOPES DE OLIVEIRA;EUNÍCIO;PMDB;PMDB / PSC / DEM / PSDC / PRP / PSDB / PR / PTN / PPS;2;Não Eleito;2014-10-26 20:30:42;CE;60000000603;#NE;680;2014;0,4665;2113940;4531608
DF;3;Governador;40;RODRIGO SOBRAL ROLLEMBERG;ROLLEMBERG;PSB;PSB / SD / PDT / PSD;2;Eleito;2014-10-26 18:29:26;DF;70000000434;#NE;680;2014;0,5556;812036;1461623
DF;3;Governador;22;JOFRAN FREJAT;JOFRAN FREJAT;PR;PTB / PR / DEM / PRTB / PMN;2;Não Eleito;2014-10-26 18:29:26;DF;70000001541;#NE;680;2014;0,4444;649587;1461623
GO;3;Governador;45;MARCONI FERREIRA PERILLO JUNIOR;MARCONI PERILLO;PSDB;PRB / PP / PDT / PTB / PSL / PR / PPS / PHS / PMN / PTC / PV / PSDB / PEN / PSD / PT do B / PROS;2;Eleito;2014-10-26 20:38:29;GO;90000000637;#NE;680;2014;0,5744;1750977;3048569
GO;3;Governador;15;IRIS REZENDE MACHADO;IRIS REZENDE;PMDB;PMDB / DEM / SD / PC do B / PRTB / PTN / PPL;2;Não Eleito;2014-10-26 20:38:29;GO;90000000608;#NE;680;2014;0,4256;1297592;3048569
MS;3;Governador;45;REINALDO AZAMBUJA SILVA;REINALDO AZAMBUJA;PSDB;PSDB / DEM / PSD / SD / PPS / PMN;2;Eleito;2014-10-26 18:51:38;MS;120000000022;#NE;680;2014;0,5534;741516;1339977
MS;3;Governador;13;DELCÍDIO DO AMARAL GOMEZ;DELCÍDIO;PT;PDT / PT / PSL / PR / PSDC / PV / PROS / PC do B / PTB / PTC / PPL / PRP;2;Não Eleito;2014-10-26 18:51:38;MS;120000000283;#NE;680;2014;0,4466;598461;1339977
PA;3;Governador;45;SIMÃO ROBISON OLIVEIRA JATENE;SIMÃO JATENE;PSDB;PSDB / PSD / PSB / PP / SD / PRB / PSC / PTB / PPS / PEN / PMN / PTC / PSDC / PT do B / PRP;2;Eleito;2014-10-26 21:27:24;PA;140000000828;#NE;680;2014;0,5192;1858869;3580348
PA;3;Governador;15;HELDER ZAHLUTH BARBALHO;HELDER BARBALHO;PMDB;PMDB / PT / DEM / PR / PDT / PROS / PHS / PC do B / PSL / PPL / PTN;2;Não Eleito;2014-10-26 21:27:24;PA;140000000468;#NE;680;2014;0,4808;1721479;3580348
PB;3;Governador;40;RICARDO VIEIRA COUTINHO;RICARDO COUTINHO;PSB;PSB / PT / PDT / DEM / PRTB / PRP / PV / PSL / PC do B / PHS / PPL;2;Eleito;2014-10-26 20:02:01;PB;150000000052;#NE;680;2014;0,5261;1125956;2140349
PB;3;Governador;45;CASSIO RODRIGUES DA CUNHA LIMA;CASSIO CUNHA LIMA;PSDB;PSDB / PEN / PR / PTB / PSD / SD / PMN / PPS / PT do B / PTN / PRB / PSDC / PSC / PP;2;Não Eleito;2014-10-26 20:02:01;PB;150000000407;#NE;680;2014;0,4739;1014393;2140349
RJ;3;Governador;15;LUIZ FERNANDO DE SOUZA;LUIZ FERNANDO PEZÃO;PMDB;PMDB / PP / PSC / PTB / PSL / PPS / PTN / DEM / PSDC / PRTB / PHS / PMN / PTC / PRP / PSDB / PEN / PSD / SD;2;Eleito;2014-10-26 20:22:26;RJ;190000001649;#NE;680;2014;0,5578;4343298;7786011
RJ;3;Governador;10;MARCELO BEZERRA  CRIVELLA;MARCELO CRIVELLA;PRB;PRB;2;Não Eleito;2014-10-26 20:22:26;RJ;190000001406;#NE;680;2014;0,4422;3442713;7786011
RN;3;Governador;55;ROBINSON MESQUITA DE FARIA;ROBINSON FARIA;PSD;PSD / PT / PC do B / PT do B / PP / PEN / PRTB / PTC;2;Eleito;2014-10-26 19:54:03;RN;200000000242;#NE;680;2014;0,5442;877268;1612069
RN;3;Governador;15;HENRIQUE EDUARDO LYRA ALVES;HENRIQUE ALVES;PMDB;PMDB / PR / PSB / PROS / PDT / SD / PSC / PTB / PPS / PHS / PSDB / PSDC / PRB / PTN / PV / PMN / PRP;2;Não Eleito;2014-10-26 19:54:03;RN;200000000127;#NE;680;2014;0,4558;734801;1612069
RO;3;Governador;15;CONFUCIO AIRES MOURA;CONFUCIO MOURA;PMDB;PMDB / PDT / PSB / PTN / PTB / PC do B / PRTB / PSL / PRP;2;Eleito;2014-10-26 19:08:26;RO;220000000187;#NE;680;2014;0,5343;419928;786000
RO;3;Governador;45;EXPEDITO GONÇALVES FERREIRA JUNIOR;EXPEDITO JÚNIOR;PSDB;PSDB / PSDC / PSD / PEN / PHS / PSC / PMN / PT do B / PRB / DEM;2;Não Eleito;2014-10-26 19:08:26;RO;220000000038;#NE;680;2014;0,4657;366072;786000
RR;3;Governador;11;MARIA SUELY SILVA CAMPOS;SUELY CAMPOS;PP;PP / PTB / DEM;2;Eleito;2014-10-26 19:29:15;RR;230000000804;#NE;680;2014;0,5485;127161;231817
RR;3;Governador;40;FRANCISCO DE ASSIS RODRIGUES;CHICO RODRIGUES;PSB;PSB / PMDB / PSDB / PR / PRB / PSD / SD / PROS / PPS / PSC / PMN / PSDC / PT do B / PRTB / PHS / PSL / PPL / PTN / PEN / PRP;2;Não Eleito;2014-10-26 19:29:15;RR;230000000345;#NE;680;2014;0,4515;104656;231817
RS;3;Governador;15;JOSÉ IVO SARTORI;JOSÉ IVO SARTORI;PMDB;PMDB / PSD / PPS / PSB / PHS / PT do B / PSL / PSDC;2;Eleito;2014-10-26 22:04:39;RS;210000000083;#NE;680;2014;0,6121;3859611;6305275
RS;3;Governador;13;TARSO FERNANDO HERZ GENRO;TARSO GENRO;PT;PT / PTC / PC do B / PROS / PPL / PTB / PR;2;Não Eleito;2014-10-26 22:04:39;RS;210000000003;#NE;680;2014;0,3879;2445664;6305275
