sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AM;MANAUS;11;Prefeito;70;DAVID ANTONIO ABISAI PEREIRA DE ALMEIDA;DAVID ALMEIDA;AVANTE;AGIR / PSD / DC / AVANTE / MDB;2;Eleito;2024-10-27 18:23:10;02550;40001941186;Válido;2045202024;2024;0,5459;576171;1055468
AM;MANAUS;11;Prefeito;22;ALBERTO BARROS CAVALCANTE NETO;CAPITÃO ALBERTO NETO;PL;PL / NOVO;2;Não Eleito;2024-10-27 18:23:10;02550;40002142182;Válido;2045202024;2024;0,4541;479297;1055468
BA;CAMAÇARI;11;Prefeito;13;LUIZ CARLOS CAETANO;CAETANO;PT;AVANTE / PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / PSD / SOLIDARIEDADE / PODE / Federação PSOL REDE(PSOL/REDE);2;Eleito;2024-10-27 19:00:03;34134;50001941127;Válido;2045202024;2024;0,5092;80626;158350
BA;CAMAÇARI;11;Prefeito;44;FLÁVIO MARCUS DE AZEVEDO REIS;FLÁVIO;UNIÃO;UNIÃO / PP / Federação PSDB CIDADANIA(PSDB/CIDADANIA) / PRD / PL / PDT / REPUBLICANOS;2;Não Eleito;2024-10-27 19:00:03;34134;50001886830;Válido;2045202024;2024;0,4908;77724;158350
CE;CAUCAIA;11;Prefeito;55;NAUMI GOMES DE AMORIM;NAUMI AMORIM;PSD;MDB / PODE / PRD / DC / PRTB / PMB / PSD / AVANTE;2;Eleito;2024-10-27 18:18:14;13730;60002309363;Válido;2045202024;2024;0,604;109835;181849
CE;CAUCAIA;11;Prefeito;13;WALDEMIR CATANHO DE SENA JUNIOR;CATANHO;PT;REPUBLICANOS / PSB / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / Federação PSOL REDE(PSOL/REDE) / AGIR;2;Não Eleito;2024-10-27 18:18:14;13730;60002180687;Válido;2045202024;2024;0,396;72014;181849
CE;FORTALEZA;11;Prefeito;13;EVANDRO SA BARRETO LEITAO;EVANDRO LEITÃO;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / PP / PSB / PSD / REPUBLICANOS / MDB;2;Eleito;2024-10-27 18:41:59;13897;60002129518;Válido;2045202024;2024;0,5038;716133;1421428
CE;FORTALEZA;11;Prefeito;22;ANDRE FERNANDES DE MOURA;ANDRÉ FERNANDES;PL;PL;2;Não Eleito;2024-10-27 18:41:59;13897;60002029263;Válido;2045202024;2024;0,4962;705295;1421428
ES;SERRA;11;Prefeito;12;WEVERSON VALCKER MEIRELES;WEVERSON MEIRELES;PDT;PDT / MDB / PODE / PSB / Federação PSOL REDE(PSOL/REDE) / UNIÃO;2;Eleito;2024-10-27 17:55:29;56995;80002165282;Válido;2045202024;2024;0,6048;138071;228298
ES;SERRA;11;Prefeito;10;PABLO AURINO RAMOS ARAUJO;PABLO MURIBECA;REPUBLICANOS;REPUBLICANOS / PRD / PSD / DC;2;Não Eleito;2024-10-27 17:55:29;56995;80002286239;Válido;2045202024;2024;0,3952;90227;228298
GO;ANÁPOLIS;11;Prefeito;22;MARCIO AURELIO CORREA;MARCIO CORREA;PL;MDB / PL / PRD / NOVO / PSD / AVANTE;2;Eleito;2024-10-27 18:13:38;92215;90002213855;Válido;2045202024;2024;0,5856;106263;181445
GO;ANÁPOLIS;11;Prefeito;13;ANTONIO ROBERTO OTONI GOMIDE;ANTONIO GOMIDE;PT;Federação PSOL REDE(PSOL/REDE) / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);2;Não Eleito;2024-10-27 18:13:38;92215;90002074092;Válido;2045202024;2024;0,4144;75182;181445
GO;APARECIDA DE GOIÂNIA;11;Prefeito;15;LEANDRO VILELA VELLOSO;LEANDRO VILELA;MDB;PP / MDB / PODE / UNIÃO / PSD / SOLIDARIEDADE / PMB;2;Eleito;2024-10-27 18:17:40;92274;90001991831;Válido;2045202024;2024;0,636;132230;207906
GO;APARECIDA DE GOIÂNIA;11;Prefeito;22;ALCIDES RIBEIRO FILHO;PROFESSOR ALCIDES;PL;PL / MOBILIZA / AVANTE / AGIR / PRD / PDT / NOVO / REPUBLICANOS / DC / PRTB / Federação PSDB CIDADANIA(PSDB/CIDADANIA);2;Não Eleito;2024-10-27 18:17:40;92274;90001991809;Válido;2045202024;2024;0,364;75676;207906
GO;GOIÂNIA;11;Prefeito;44;SANDRO DA MABEL ANTÔNIO SCODRO;MABEL;UNIÃO;PP / UNIÃO / MDB / PODE / AVANTE / AGIR / PRD / REPUBLICANOS;2;Eleito;2024-10-27 18:53:56;93734;90002002544;Válido;2045202024;2024;0,5553;353518;636572
GO;GOIÂNIA;11;Prefeito;22;FREDERICO GUSTAVO RODRIGUES DA CUNHA;FRED RODRIGUES;PL;PL / NOVO;2;Não Eleito;2024-10-27 18:53:56;93734;90002008544;Válido;2045202024;2024;0,4447;283054;636572
MA;IMPERATRIZ;11;Prefeito;11;RILDO DE OLIVEIRA AMARAL;RILDO AMARAL;PP;PP / PODE / PRD / AGIR / PSB / UNIÃO / Federação PSDB CIDADANIA(PSDB/CIDADANIA);2;Eleito;2024-10-27 17:39:11;08036;100002337183;Válido;2045202024;2024;0,5511;81942;148694
MA;IMPERATRIZ;11;Prefeito;10;TACILLA MARIANA CARVALHO SILVA;MARIANA CARVALHO;REPUBLICANOS;REPUBLICANOS / PL / PRTB;2;Não Eleito;2024-10-27 17:39:11;08036;100002287396;Válido;2045202024;2024;0,4489;66752;148694
MG;BELO HORIZONTE;11;Prefeito;55;FUAD JORGE NOMAN FILHO;FUAD NOMAN;PSD;SOLIDARIEDADE / UNIÃO / PRD / PSD / AGIR / AVANTE / Federação PSDB CIDADANIA(PSDB/CIDADANIA);2;Eleito;2024-10-27 19:36:18;41238;130001975610;Válido;2045202024;2024;0,5373;670574;1248111
MG;BELO HORIZONTE;11;Prefeito;22;BRUNO DE CASTRO ENGLER FLORENCIO DE ALMEIDA;BRUNO ENGLER;PL;PP / PL;2;Não Eleito;2024-10-27 19:36:18;41238;130002255952;Válido;2045202024;2024;0,4627;577537;1248111
MG;UBERABA;11;Prefeito;55;ELISA GONÇALVES DE ARAÚJO;ELISA ARAÚJO;PSD;REPUBLICANOS / PRD / DC / NOVO / MOBILIZA / PMB / UNIÃO / PSD / SOLIDARIEDADE / PRTB;2;Eleito;2024-10-27 20:13:20;54011;130002181548;Válido;2045202024;2024;0,556;86492;155559
MG;UBERABA;11;Prefeito;15;ANTONIO CARLOS SILVA NUNES;TONY CARLOS;MDB;PP / PODE / AVANTE / MDB;2;Não Eleito;2024-10-27 20:13:20;54011;130002072776;Válido;2045202024;2024;0,444;69067;155559
MS;CAMPO GRANDE;11;Prefeito;11;ADRIANE BARBOSA NOGUEIRA LOPES;ADRIANE LOPES;PP;PP / AVANTE / PRD;2;Eleito;2024-10-27 18:04:01;90514;120002167893;Válido;2045202024;2024;0,5145;222699;432811
MS;CAMPO GRANDE;11;Prefeito;44;ROSIANE MODESTO DE OLIVEIRA;ROSE MODESTO;UNIÃO;PDT / UNIÃO;2;Não Eleito;2024-10-27 18:04:01;90514;120002225413;Válido;2045202024;2024;0,4855;210112;432811
MT;CUIABÁ;11;Prefeito;22;ABILIO JACQUES BRUNINI MOUMER;ABILIO;PL;PL / NOVO / PRTB / DC;2;Eleito;2024-10-27 18:16:05;90670;110002118922;Válido;2045202024;2024;0,538;171324;318451
MT;CUIABÁ;11;Prefeito;13;LÚDIO FRANK MENDES CABRAL;LÚDIO;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / PSD / Federação PSOL REDE(PSOL/REDE);2;Não Eleito;2024-10-27 18:16:05;90670;110002013954;Válido;2045202024;2024;0,462;147127;318451
PA;BELÉM;11;Prefeito;15;IGOR WANDER CENTENO NORMANDO;IGOR;MDB;MDB / PSB / PRD / UNIÃO / PDT / PP / PSD / Federação PSDB CIDADANIA(PSDB/CIDADANIA);2;Eleito;2024-10-27 18:01:38;04278;140002181381;Válido;2045202024;2024;0,5636;421485;747896
PA;BELÉM;11;Prefeito;22;EDER MAURO CARDOSO BARRA;DELEGADO EDER MAURO;PL;PL;2;Não Eleito;2024-10-27 18:01:38;04278;140001951566;Válido;2045202024;2024;0,4364;326411;747896
PA;SANTARÉM;11;Prefeito;15;JOSÉ MARIA TAPAJÓS;ZÉ MARIA TAPAJÓS;MDB;MDB / Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / UNIÃO / REPUBLICANOS / PP / PDT / PODE / PRD / PSB / DC / PSD;2;Eleito;2024-10-27 20:50:29;05355;140002112203;Válido;2045202024;2024;0,52;92628;178144
