cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
1;Presidente;13;DILMA VANA ROUSSEFF;DILMA;PT;PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB;1;Segundo turno;2019-01-30 15:12:29;BR;280000000083;#NE;680;2014;0,4159;43267668;104023802
1;Presidente;45;AÉCIO NEVES DA CUNHA;AÉCIO NEVES;PSDB;PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B;1;Segundo turno;2019-01-30 15:12:29;BR;280000000085;#NE;680;2014;0,3355;34897211;104023802
1;Presidente;40;MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA;MARINA SILVA;PSB;PHS / PRP / PPS / PPL / PSB / PSL;1;Não Eleito;2019-01-30 15:12:29;BR;280000000121;#NE;680;2014;0,2132;22176619;104023802
1;Presidente;50;LUCIANA KREBS GENRO;LUCIANA GENRO;PSOL;PSOL;1;Não Eleito;2019-01-30 15:12:29;BR;280000000043;#NE;680;2014;0,0167;1612186;104023802
1;Presidente;20;EVERALDO DIAS PEREIRA;PASTOR EVERALDO;PSC;PSC;1;Não Eleito;2019-01-30 15:12:29;BR;280000000065;#NE;680;2014;0,0085;780513;104023802
1;Presidente;43;EDUARDO JORGE MARTINS ALVES SOBRINHO;EDUARDO JORGE;PV;PV;1;Não Eleito;2019-01-30 15:12:29;BR;280000000061;#NE;680;2014;0,0086;630099;104023802
1;Presidente;28;JOSÉ LEVY FIDELIX DA CRUZ;LEVY FIDELIX;PRTB;PRTB;1;Não Eleito;2019-01-30 15:12:29;BR;280000000021;#NE;680;2014;0,008;446878;104023802
1;Presidente;16;JOSÉ MARIA DE ALMEIDA;ZÉ MARIA;PSTU;PSTU;1;Não Eleito;2019-01-30 15:12:29;BR;280000000001;#NE;680;2014;0,0333;91209;104023802
1;Presidente;27;JOSE MARIA EYMAEL;EYMAEL;PSDC;PSDC;1;Não Eleito;2019-01-30 15:12:29;BR;280000000067;#NE;680;2014;0,0617;61250;104023802
1;Presidente;21;MAURO LUÍS IASI;MAURO IASI;PCB;PCB;1;Não Eleito;2019-01-30 15:12:29;BR;280000000041;#NE;680;2014;0,0495;47845;104023802
1;Presidente;29;RUI COSTA PIMENTA;RUI COSTA PIMENTA;PCO;PCO;1;Não Eleito;2019-01-30 15:12:29;BR;280000000081;#NE;680;2014;0,1993;12324;104023802
