sg_uf;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AL;3;Governador;15;PAULO SURUAGY DO AMARAL DANTAS;PAULO DANTAS;MDB;MDB / Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PDT / PSC / PODE / SOLIDARIEDADE;2;Eleito;2022-10-30 20:11:42;AL;20001697934;Válido;2040602022;2022;0,5233;834278;1594262
AL;3;Governador;44;RODRIGO SANTOS CUNHA;RODRIGO CUNHA;UNIÃO;UNIÃO / Federação PSDB Cidadania(PSDB/CIDADANIA) / PSB / PP;2;Não Eleito;2022-10-30 20:11:42;AL;20001695808;Válido;2040602022;2022;0,4767;759984;1594262
AM;3;Governador;44;WILSON MIRANDA LIMA;WILSON LIMA;UNIÃO;REPUBLICANOS / PP / PTB / PSC / PL / PRTB / PMN / UNIÃO / PATRIOTA / AVANTE;2;Eleito;2022-10-31 00:51:21;AM;40001619528;Válido;2040602022;2022;0,5665;1039192;1834290
AM;3;Governador;15;CARLOS EDUARDO DE SOUZA BRAGA;EDUARDO BRAGA;MDB;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / MDB / PSD;2;Não Eleito;2022-10-31 00:51:21;AM;40001610345;Válido;2040602022;2022;0,4335;795098;1834290
BA;3;Governador;13;JERÔNIMO RODRIGUES SOUZA;JERÔNIMO;PT;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PSB / PSD / AVANTE / MDB;2;Eleito;2022-10-30 21:59:55;BA;50001603638;Válido;2040602022;2022;0,5279;4480464;8487487
BA;3;Governador;44;ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO;ACM NETO;UNIÃO;Federação PSDB Cidadania(PSDB/CIDADANIA) / REPUBLICANOS / PP / PDT / PTB / PODE / PSC / DC / PRTB / UNIÃO / SOLIDARIEDADE / PMN;2;Não Eleito;2022-10-30 21:59:55;BA;50001609248;Válido;2040602022;2022;0,4721;4007023;8487487
ES;3;Governador;40;JOSÉ RENATO CASAGRANDE;RENATO CASAGRANDE;PSB;MDB / PP / PROS / PSB / PODE / Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / Federação PSDB Cidadania(PSDB/CIDADANIA) / PDT;2;Eleito;2022-10-30 19:10:23;ES;80001649123;Válido;2040602022;2022;0,538;1171288;2177309
ES;3;Governador;22;CARLOS HUMBERTO MANNATO;MANATO;PL;PTB / PL;2;Não Eleito;2022-10-30 19:10:23;ES;80001721262;Válido;2040602022;2022;0,462;1006021;2177309
MS;3;Governador;45;EDUARDO CORREA RIEDEL;EDUARDO RIEDEL;PSDB;Federação PSDB Cidadania(PSDB/CIDADANIA) / REPUBLICANOS / PP / PSB / PL / PDT;2;Eleito;2022-10-30 19:13:04;MS;120001635628;Válido;2040602022;2022;0,569;808210;1420323
MS;3;Governador;28;RENAN BARBOSA CONTAR;CAPITÃO CONTAR;PRTB;AVANTE / PRTB;2;Não Eleito;2022-10-30 19:13:04;MS;120001714229;Válido;2040602022;2022;0,431;612113;1420323
PB;3;Governador;40;JOÃO AZEVEDO LINS FILHO;JOÃO;PSB;PSB / AGIR / PP / AVANTE / PMN / PSD / SOLIDARIEDADE / PODE / REPUBLICANOS / PATRIOTA / PROS;2;Eleito;2022-10-30 19:46:42;PB;150001613757;Válido;2040602022;2022;0,5251;1221904;2326867
PB;3;Governador;45;PEDRO OLIVEIRA CUNHA LIMA;PEDRO CUNHA LIMA;PSDB;PDT / Federação PSDB Cidadania(PSDB/CIDADANIA) / UNIÃO / PMB / PSC / PTB / PROS;2;Não Eleito;2022-10-30 19:46:42;PB;150001621388;Válido;2040602022;2022;0,4749;1104963;2326867
PE;3;Governador;45;RAQUEL TEIXEIRA LYRA LUCENA;RAQUEL LYRA;PSDB;Federação PSDB Cidadania(PSDB/CIDADANIA) / PRTB;2;Eleito;2022-10-30 21:04:59;PE;170001604087;Válido;2040602022;2022;0,587;3113415;5303679
PE;3;Governador;77;MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR;MARÍLIA ARRAES;SOLIDARIEDADE;SOLIDARIEDADE / PSD / AVANTE / AGIR / PMN;2;Não Eleito;2022-10-30 21:04:59;PE;170001610442;Válido;2040602022;2022;0,413;2190264;5303679
RO;3;Governador;44;MARCOS JOSÉ ROCHA DOS SANTOS;CORONEL MARCOS ROCHA;UNIÃO;UNIÃO / REPUBLICANOS / AVANTE / MDB / PATRIOTA / PSC / Federação PSDB Cidadania(PSDB/CIDADANIA);2;Eleito;2022-10-30 20:00:39;RO;220001609511;Válido;2040602022;2022;0,5247;458370;873648
RO;3;Governador;22;MARCOS ROGERIO DA SILVA BRITO;MARCOS ROGERIO;PL;PL / DC / PMB / PTB;2;Não Eleito;2022-10-30 20:00:39;RO;220001647595;Válido;2040602022;2022;0,4753;415278;873648
RS;3;Governador;45;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;EDUARDO LEITE;PSDB;Federação PSDB Cidadania(PSDB/CIDADANIA) / MDB / PSD / PODE / UNIÃO;2;Eleito;2022-10-30 20:34:55;RS;210001609847;Válido;2040602022;2022;0,5712;3687126;6454912
RS;3;Governador;22;ONYX DORNELLES LORENZONI;ONYX LORENZONI;PL;REPUBLICANOS / PATRIOTA / PROS / PL;2;Não Eleito;2022-10-30 20:34:55;RS;210001609934;Válido;2040602022;2022;0,4288;2767786;6454912
SC;3;Governador;22;JORGINHO DOS SANTOS MELLO;JORGINHO MELLO;PL;PL;2;Eleito;2022-10-30 21:23:20;SC;240001611127;Válido;2040602022;2022;0,7069;2983949;4220965
SC;3;Governador;13;DÉCIO NERY DE LIMA;DÉCIO LIMA;PT;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PSB / SOLIDARIEDADE;2;Não Eleito;2022-10-30 21:23:20;SC;240001647445;Válido;2040602022;2022;0,2931;1237016;4220965
SE;3;Governador;55;FÁBIO CRUZ MITIDIERI;FÁBIO;PSD;PDT / PSC / UNIÃO / REPUBLICANOS / PP / PSD / AVANTE;2;Eleito;2022-10-30 19:55:04;SE;260001612779;Válido;2040602022;2022;0,517;623851;1206791
SE;3;Governador;13;ROGERIO CARVALHO SANTOS;ROGÉRIO CARVALHO;PT;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / MDB / PSB / SOLIDARIEDADE;2;Não Eleito;2022-10-30 19:55:04;SE;260001666399;Válido;2040602022;2022;0,483;582940;1206791
SP;3;Governador;10;TARCISIO GOMES DE FREITAS;TARCÍSIO;REPUBLICANOS;REPUBLICANOS / PL / PSD / PTB / PSC / PMN;2;Eleito;2022-10-30 22:19:31;SP;250001615967;Válido;2040602022;2022;0,5527;13480643;24390014
SP;3;Governador;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PSB / Federação PSOL REDE(PSOL/REDE) / AGIR;2;Não Eleito;2022-10-30 22:19:31;SP;250001612465;Válido;2040602022;2022;0,4473;10909371;24390014
