sg_uf;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AL;3;Governador;45;TEOTONIO BRANDAO VILELA FILHO;TEOTONIO VILELA;PSDB;DEM / PP / PPS / PSB / PSC / PSDB;2;Eleito;2010-10-31 22:52:48;AL;20000000301;#NE;14426;2010;0,5274;712789;1351551
AL;3;Governador;12;RONALDO AUGUSTO LESSA SANTOS;RONALDO LESSA;PDT;PC do B / PDT / PMDB / PR / PRP / PSDC / PT / PT do B;2;Não Eleito;2010-10-31 22:52:48;AL;20000000273;#NE;14426;2010;0,4726;638762;1351551
AP;3;Governador;40;CARLOS CAMILO GOES CAPIBERIBE;CAMILO CAPIBERIBE;PSB;PSB / PT;2;Eleito;2010-10-31 21:05:18;AP;30000000011;#NE;14426;2010;0,5377;170277;316660
AP;3;Governador;14;LUIZ CANTUÁRIA BARRETO;LUCAS;PTB;PCB / PMN / PRP / PRTB / PSDC / PTB / PTC;2;Não Eleito;2010-10-31 21:05:18;AP;30000000585;#NE;14426;2010;0,4623;146383;316660
DF;3;Governador;13;AGNELO SANTOS QUEIROZ FILHO;AGNELO;PT;PC do B / PDT / PHS / PMDB / PPS / PRB / PRP / PSB / PT / PTB / PTC;2;Eleito;2010-10-31 18:40:53;DF;70000000645;#NE;14426;2010;0,661;875612;1324722
DF;3;Governador;20;WESLIAN DO PERPETUO SOCORRO PELES RORIZ;RORIZ;PSC;DEM / PMN / PP / PR / PRTB / PSC / PSDB / PSDC / PT do B;2;Não Eleito;2010-10-31 18:40:53;DF;70000001223;#NE;14426;2010;0,339;449110;1324722
GO;3;Governador;45;MARCONI FERREIRA PERILLO JÚNIOR;MARCONI PERILLO;PSDB;DEM / PHS / PMN / PPS / PRB / PRTB / PSDB / PSL / PT do B / PTB / PTC;2;Eleito;2010-10-31 20:09:32;GO;90000000113;#NE;14426;2010;0,5299;1551132;2927320
GO;3;Governador;15;IRIS REZENDE MACHADO;IRIS REZENDE;PMDB;PC do B / PMDB / PT;2;Não Eleito;2010-10-31 20:09:32;GO;90000000595;#NE;14426;2010;0,4701;1376188;2927320
PA;3;Governador;45;SIMÃO ROBSON OLIVEIRA JATENE;SIMAO JATENE;PSDB;DEM / PMN / PPS / PRP / PRTB / PSDB / PSDC;2;Eleito;2010-10-31 23:54:08;PA;140000000317;#NE;14426;2010;0,5574;1860799;3338408
PA;3;Governador;13;ANA JULIA DE VASCONCELOS CAREPA;ANA JULIA;PT;PC do B / PDT / PHS / PP / PR / PRB / PSB / PSC / PT / PT do B / PTB / PTC / PTN / PV;2;Não Eleito;2010-10-31 23:54:08;PA;140000000610;#NE;14426;2010;0,4426;1477609;3338408
PB;3;Governador;40;RICARDO VIEIRA COUTINHO;RICARDO COUTINHO;PSB;DEM / PDT / PPS / PRP / PSB / PSDB / PTC / PTN / PV;2;Eleito;2010-10-31 20:19:29;PB;150000000286;#NE;14426;2010;0,537;1079164;2009495
PB;3;Governador;15;JOSE TARGINO MARANHAO;ZE MARANHAO;PMDB;PC do B / PHS / PMDB / PMN / PP / PR / PRB / PSC / PSL / PT / PT do B / PTB;2;Não Eleito;2010-10-31 20:19:29;PB;150000000335;#NE;14426;2010;0,463;930331;2009495
PI;3;Governador;40;WILSON NUNES MARTINS;WILSON MARTINS;PSB;PC do B / PMDB / PR / PRB / PRP / PSB / PT / PTN;2;Eleito;2010-11-01 01:05:56;PI;180000000334;#NE;14426;2010;0,5893;921313;1563478
PI;3;Governador;45;SILVIO MENDES DE OLIVEIRA FILHO;SILVIO MENDES;PSDB;DEM / PPS / PSC / PSDB;2;Não Eleito;2010-11-01 01:05:56;PI;180000000098;#NE;14426;2010;0,4107;642165;1563478
RO;3;Governador;15;CONFUCIO AIRES DE MOURA;CONFUCIO MOURA;PMDB;DEM / PC do B / PDT / PMDB / PRTB;2;Eleito;2010-10-31 19:43:21;RO;220000000001;#NE;14426;2010;0,5868;422707;720381
RO;3;Governador;23;JOÃO APARECIDO CAHULLA;JOÃO CAHULLA;PPS;PHS / PMN / PP / PPS / PRP / PSDC / PSL / PTB / PTN / PV;2;Não Eleito;2010-10-31 19:43:21;RO;220000000177;#NE;14426;2010;0,4132;297674;720381
RR;3;Governador;45;JOSE DE ANCHIETA JUNIOR;ANCHIETA;PSDB;DEM / PMDB / PPS / PR / PSDB / PTN;2;Eleito;2010-10-31 20:07:36;RR;230000000057;#NE;14426;2010;0,5041;107466;213173
RR;3;Governador;11;NEUDO RIBEIRO CAMPOS;NEUDO CAMPOS;PP;PHS / PP / PSB / PSC / PT / PTB / PTC;2;Não Eleito;2010-10-31 20:07:36;RR;230000000504;#NE;14426;2010;0,4959;105707;213173
