sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AL;MACEIÓ;11;Prefeito;45;RUI SOARES PALMEIRA;RUI PALMEIRA;PSDB;PSDB / PP / PR / PPS / PDT / DEM / PROS;2;Eleito;2016-10-30 19:56:21;27855;20000001535;#NULO#;2;2016;;241977;0
AL;MACEIÓ;11;Prefeito;15;JOSE CICERO SOARES DE ALMEIDA;CICERO ALMEIDA;PMDB;PMDB / PT do B / PHS / PV / PSC / PRB / PSD / PTB / PTN / PRTB / PC do B / SD;2;Não Eleito;2016-10-30 19:56:21;27855;20000002709;#NULO#;2;2016;;159542;0
AM;MANAUS;11;Prefeito;45;ARTHUR VIRGILIO DO CARMO RIBEIRO NETO;ARTUR NETO;PSDB;PSL / PP / PMDB / PTN / PHS / PSDB / PV / PPL / PTB / PRP;2;Eleito;2016-10-30 19:22:49;02550;40000003330;#NULO#;2;2016;;581777;0
AM;MANAUS;11;Prefeito;22;MARCELO RAMOS RODRIGUES;MARCELO RAMOS;PR;PR / PT do B / PTC / PEN / PSD / PROS / DEM;2;Não Eleito;2016-10-30 19:22:49;02550;40000002047;#NULO#;2;2016;;457809;0
AP;MACAPÁ;11;Prefeito;18;CLÉCIO LUÍS VILHENA VIEIRA;CLÉCIO;REDE;REDE / DEM / PPL / PSC / PT do B / PSDB / PC do B;2;Eleito;2016-10-30 19:27:18;06050;30000002139;#NULO#;2;2016;;123808;0
AP;MACAPÁ;11;Prefeito;15;GILVAM PINHEIRO BORGES;GILVAM BORGES;PMDB;PMDB / PROS / PDT / PPS / PTN / PSD / SD;2;Não Eleito;2016-10-30 19:27:18;06050;30000001381;#NULO#;2;2016;;80840;0
BA;VITÓRIA DA CONQUISTA;11;Prefeito;15;HERZEM GUSMÃO PEREIRA;HERZEM GUSMÃO;PMDB;PRB / PSC / PMB / PPL / PMDB / PPS / PTB / PSDC;2;Eleito;2016-10-30 19:51:58;39659;50000003484;#NULO#;2;2016;;95710;0
BA;VITÓRIA DA CONQUISTA;11;Prefeito;13;JOSE RAIMUNDO FONTES;ZÉ RAIMUNDO;PT;PT / PP / PSL / PR / PSD;2;Não Eleito;2016-10-30 19:51:58;39659;50000012157;#NULO#;2;2016;;70513;0
CE;CAUCAIA;11;Prefeito;35;NAUMI GOMES DE AMORIM;NAUMI AMORIM;PMB;PMB / PSDC / PTB / PC do B / PMDB / PRP / PPL / PMN / PT / PDT / PV / PSD / PHS / SD;2;Eleito;2016-10-30 19:24:59;13730;60000011594;#NULO#;2;2016;;80756;0
CE;CAUCAIA;11;Prefeito;45;EDUARDO DE CASTRO PESSOA DE LIMA;EDUARDO PESSOA;PSDB;PSL / PSC / DEM / PPS / PR / PSDB / PT do B;2;Não Eleito;2016-10-30 19:24:59;13730;60000006134;#NULO#;2;2016;;68149;0
CE;FORTALEZA;11;Prefeito;12;ROBERTO CLAUDIO RODRIGUES BEZERRA;ROBERTO CLAUDIO;PDT;PDT / PP / DEM / PEN / PSC / PSDC / PRTB / PTC / PPS / PTN / PPL / PSL / PV / PTB / PSD / PROS / PMB / PC do B;2;Eleito;2016-10-30 19:07:27;13897;60000001319;#NULO#;2;2016;;678847;0
CE;FORTALEZA;11;Prefeito;22;WAGNER SOUSA GOMES;CAPITÃO WAGNER;PR;PMDB / PR / PSDB / SD;2;Não Eleito;2016-10-30 19:07:27;13897;60000001952;#NULO#;2;2016;;588451;0
ES;CARIACICA;11;Prefeito;23;GERALDO LUZIA DE OLIVEIRA JUNIOR;JUNINHO;PPS;PPS / PSDB / PMN / PR / PHS / PP / PDT / PRTB / PROS / PMB / PV / PEN / PSD / SD;2;Eleito;2016-10-30 18:16:01;56251;80000010630;#NULO#;2;2016;;91631;0
ES;CARIACICA;11;Prefeito;15;ALEXANDRE MARCELO COUTINHO SANTOS;MARCELO SANTOS;PMDB;PMDB / DEM / PSC / PRP / PTB / PSL / PT do B / PRB;2;Não Eleito;2016-10-30 18:16:01;56251;80000007617;#NULO#;2;2016;;82856;0
ES;SERRA;11;Prefeito;18;AUDIFAX CHARLES PIMENTEL BARCELOS;AUDIFAX;REDE;REDE / PMDB / PTC / PSDC / PC do B / PHS / PTN / PV / PPS / PSB / PP;2;Eleito;2016-10-30 18:18:05;56995;80000011517;#NULO#;2;2016;;112344;0
ES;SERRA;11;Prefeito;12;ANTONIO SERGIO ALVES VIDIGAL;SERGIO  VIDIGAL;PDT;PDT / PTB / PRB / PSL / PSC / DEM / PMN / PRP / PSDB / PEN / PSD / PT do B / SD / PROS;2;Não Eleito;2016-10-30 18:18:05;56995;80000011557;#NULO#;2;2016;;107050;0
ES;VILA VELHA;11;Prefeito;45;MAX FREITAS MAURO FILHO;MAX FILHO;PSDB;PSDB / PR;2;Eleito;2016-10-30 17:58:32;57037;80000007067;#NULO#;2;2016;;119872;0
ES;VILA VELHA;11;Prefeito;55;NEUCIMAR FERREIRA FRAGA;NEUCIMAR FRAGA;PSD;PSD / PV / PROS / PT do B / PHS / PMN / PSC / PC do B / PP;2;Não Eleito;2016-10-30 17:58:32;57037;80000002957;#NULO#;2;2016;;83622;0
ES;VITÓRIA;11;Prefeito;23;LUCIANO SANTOS REZENDE;LUCIANO;PPS;PPS / PSDC / PC do B / REDE / PHS / PP / PV / PSB / PROS / PRB / PPL / PEN;2;Eleito;2016-10-30 17:52:00;57053;80000010632;#NULO#;2;2016;;95458;0
ES;VITÓRIA;11;Prefeito;77;AMARO ROCHA NASCIMENTO NETO;AMARO NETO;SD;SD / PDT / DEM / PRTB / PSD / PMB / PTC / PR / PTN / PT do B;2;Não Eleito;2016-10-30 17:52:00;57053;80000008424;#NULO#;2;2016;;91034;0
GO;ANÁPOLIS;11;Prefeito;14;ROBERTO NAVES E SIQUEIRA;ROBERTO DO ORION;PTB;PTB / PSD / SD / PMB / PROS / REDE / PRB / PPS / PTN;2;Eleito;2016-10-30 18:30:25;92215;90000012731;#NULO#;2;2016;;88730;0
GO;ANÁPOLIS;11;Prefeito;13;JOÃO BATISTA GOMES PINTO;JOÃO GOMES;PT;PT / PP / PRP / PMDB / PSB / PDT / PMN / PPL / PC do B / PR / PT do B;2;Não Eleito;2016-10-30 18:30:25;92215;90000002523;#NULO#;2;2016;;84475;0
GO;GOIÂNIA;11;Prefeito;15;IRIS REZENDE MACHADO;IRIS REZENDE;PMDB;PMDB / DEM / PDT / PRP / PTC / PRTB;2;Eleito;2016-10-30 19:17:11;93734;90000014463;#NULO#;2;2016;;379318;0
GO;GOIÂNIA;11;Prefeito;40;VANDERLAN VIEIRA CARDOSO;VANDERLAN;PSB;PSB / PSC / PHS / PSL / PP / PV / PPS / PMB / PSDB / PRB / SD / PSDC;2;Não Eleito;2016-10-30 19:17:11;93734;90000011360;#NULO#;2;2016;;278074;0
MA;SÃO LUÍS;11;Prefeito;12;EDIVALDO DE HOLANDA BRAGA JUNIOR;EDIVALDO HOLANDA JÚNIOR;PDT;PDT / PTB / PRB / PSC / PR / DEM / PROS / PC do B / PTC / PSL / PEN / PT;2;Eleito;2016-10-30 19:11:10;09210;100000021991;#NULO#;2;2016;;285242;0
MA;SÃO LUÍS;11;Prefeito;33;EDUARDO SALIM BRAIDE;EDUARDO BRAIDE;PMN;PMN;2;Não Eleito;2016-10-30 19:11:10;09210;100000020418;#NULO#;2;2016;;243591;0
MG;BELO HORIZONTE;11;Prefeito;31;ALEXANDRE KALIL;KALIL;PHS;PHS / REDE / PV;2;Eleito;2016-10-30 20:46:26;41238;130000083186;#NULO#;2;2016;;628050;0
MG;BELO HORIZONTE;11;Prefeito;45;JOÃO LEITE DA SILVA NETO;JOÃO LEITE;PSDB;PSDB / PPS / PP / DEM / PRB / PRTB;2;Não Eleito;2016-10-30 20:46:26;41238;130000083856;#NULO#;2;2016;;557356;0
MG;CONTAGEM;11;Prefeito;45;ALEXIS JOSÉ FERREIRA DE FREITAS;ALEX DE FREITAS;PSDB;PSDB / PV / PMB / PP / PPS / PSB / PT do B / PRP / PSL / SD;2;Eleito;2016-10-30 19:32:46;43710;130000031247;#NULO#;2;2016;;223902;0
MG;CONTAGEM;11;Prefeito;65;CARLOS MAGNO DE MOURA SOARES;CARLIN MOURA;PC do B;PC do B / PDT / PT / PRB / PEN / PTC / PSDC / PHS / PMN / PROS / PTB;2;Não Eleito;2016-10-30 19:32:46;43710;130000048953;#NULO#;2;2016;;82986;0
MG;JUIZ DE FORA;11;Prefeito;15;BRUNO DE FREITAS SIQUEIRA;BRUNO SIQUEIRA;PMDB;PMDB / PSDB / PV / PRB / PP / PPL / PTB;2;Eleito;2016-10-30 19:27:45;47333;130000086786;#NULO#;2;2016;;151194;0
MG;JUIZ DE FORA;11;Prefeito;13;MARIA MARGARIDA MARTINS SALOMÃO;MARGARIDA SALOMÃO;PT;PT / PROS / PC do B;2;Não Eleito;2016-10-30 19:27:45;47333;130000088320;#NULO#;2;2016;;110059;0
MG;MONTES CLAROS;11;Prefeito;23;HUMBERTO GUIMARAES SOUTO;HUMBERTO SOUTO;PPS;PPS / PP / PDT / SD / REDE / PEN / PT do B / PV / PR / PSL / PRP;2;Eleito;2016-10-30 19:35:55;48658;130000053710;#NULO#;2;2016;;123156;0
MG;MONTES CLAROS;11;Prefeito;40;RUY ADRIANO BORGES MUNIZ;RUY MUNIZ;PSB;PSB / PMDB / PSD / PTC / PTB / PRB / PRTB / PHS / PMN;2;Não Eleito;2016-10-30 19:35:55;48658;130000050522;#NULO#;2;2016;;65416;0
MS;CAMPO GRANDE;11;Prefeito;55;MARCOS MARCELLO TRAD;MARQUINHOS TRAD;PSD;PSD / PEN / PHS / DEM / PT do B / PMN / PTB / PPL;2;Eleito;2016-10-30 18:57:27;90514;120000007068;#NULO#;2;2016;;241876;0
MS;CAMPO GRANDE;11;Prefeito;45;ROSIANE MODESTO DE OLIVEIRA;ROSE MODESTO;PSDB;PSDB / PR / PSB / PSL / SD / PRB / PDT;2;Não Eleito;2016-10-30 18:57:27;90514;120000001365;#NULO#;2;2016;;169660;0
MT;CUIABÁ;11;Prefeito;15;EMANUEL PINHEIRO;EMANUEL PINHEIRO;PMDB;PMDB / PTB / PP / PSC / PMB / PR / PROS / SD / PPL / PT do B / PRP / PTC;2;Eleito;2016-10-30 19:57:11;90670;110000007470;#NULO#;2;2016;;157877;0
MT;CUIABÁ;11;Prefeito;45;WILSON PEREIRA DOS SANTOS;WILSON SANTOS;PSDB;PSDC / PMN / PEN / PHS / PRTB / PPS / PSL / PSDB / PSD / DEM / PSB / PV;2;Não Eleito;2016-10-30 19:57:11;90670;110000008203;#NULO#;2;2016;;103483;0
PA;BELÉM;11;Prefeito;45;ZENALDO RODRIGUES COUTINHO JUNIOR;ZENALDO COUTINHO;PSDB;PSL / PSC / PSB / PMN / PEN / PR / PTC / PTN / PT do B / DEM / PRP / PSDC / PTB / SD / PSDB;2;Eleito;2016-10-30 18:43:57;04278;140000009306;#NULO#;2;2016;;396770;0
PA;BELÉM;11;Prefeito;50;EDMILSON BRITO RODRIGUES;EDMILSON;PSOL;PDT / PSOL / PPL / PV;2;Não Eleito;2016-10-30 18:43:57;04278;140000002559;#NULO#;2;2016;;361376;0
PE;CARUARU;11;Prefeito;45;RAQUEL TEIXEIRA LYRA;RAQUEL LYRA;PSDB;PRB / PSL / PTN / DEM / PRTB / PMN / PSDB / PEN / PT do B / PROS / PTB;2;Eleito;2016-10-30 18:57:52;23817;170000018034;#NULO#;2;2016;;93803;0
PE;CARUARU;11;Prefeito;15;ANTONIO GERALDO RODRIGUES DA SILVA;TONY GEL;PMDB;PMDB / PV / PSD / PMB / PPS / SD / PSDC;2;Não Eleito;2016-10-30 18:57:52;23817;170000011355;#NULO#;2;2016;;82679;0
PE;JABOATÃO DOS GUARARAPES;11;Prefeito;22;ANDERSON FERREIRA RODRIGUES;ANDERSON FERREIRA;PR;PR / PTN / DEM / PTB / PSL / PMB / PSC / PRB;2;Eleito;2016-10-30 19:04:10;24570;170000004304;#NULO#;2;2016;;171057;0
