sg_uf;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AM;3;Governador;20;WILSON MIRANDA LIMA;WILSON LIMA;PSC;PSC / PRTB / REDE;2;Eleito;2018-10-29 09:39:08;AM;40000610391;Válido;2022802018;2018;0,585;1033954;1767368
AM;3;Governador;12;AMAZONINO ARMANDO MENDES;AMAZONINO MENDES;PDT;PDT / PRP / AVANTE / PP / PV / PR / SOLIDARIEDADE / PPS / PTB / PHS / PSL / PPL;2;Não Eleito;2018-10-29 09:39:08;AM;40000610067;Válido;2022802018;2018;0,415;733414;1767368
AP;3;Governador;12;ANTONIO WALDEZ GÓES DA SILVA;WALDEZ;PDT;PDT / PROS / PTB / MDB / DC / PRB / PRP / PC do B / PMB;2;Eleito;2018-10-28 20:31:31;AP;30000613618;Válido;2022802018;2018;0,5235;191741;366281
AP;3;Governador;40;JOAO ALBERTO RODRIGUES CAPIBERIBE;CAPI 40;PSB;PSB;2;Não Eleito;2018-10-28 20:31:31;AP;30000620049;Válido;2022802018;2018;0,4765;174540;366281
DF;3;Governador;15;IBANEIS ROCHA BARROS JUNIOR;IBANEIS;MDB;MDB / PP / AVANTE / PSL / PPL;2;Eleito;2018-10-28 18:46:17;DF;70000614515;Válido;2022802018;2018;0,6979;1042574;1493903
DF;3;Governador;40;RODRIGO SOBRAL ROLLEMBERG;RODRIGO ROLLEMBERG;PSB;PSB / PV / PC do B / PDT / REDE;2;Não Eleito;2018-10-28 18:46:17;DF;70000614409;Válido;2022802018;2018;0,3021;451329;1493903
MG;3;Governador;30;ROMEU ZEMA NETO;ROMEU ZEMA;NOVO;NOVO;2;Eleito;2018-10-28 23:21:28;MG;130000600702;Válido;2022802018;2018;0,718;6963806;9698258
MG;3;Governador;45;ANTONIO AUGUSTO JUNHO ANASTASIA;ANTONIO ANASTASIA;PSDB;PSDB / PSD / SOLIDARIEDADE / PTB / PPS / PMN / PSC / DEM / PP / PTC / PATRI / PMB;2;Não Eleito;2018-10-28 23:21:28;MG;130000604544;Válido;2022802018;2018;0,282;2734452;9698258
MS;3;Governador;45;REINALDO AZAMBUJA SILVA;REINALDO AZAMBUJA;PSDB;PMN / DEM / PP / PSB / PTB / PSDB / PATRI / PSD / PPS / AVANTE / SOLIDARIEDADE / PROS;2;Eleito;2018-10-28 19:37:40;MS;120000606863;Válido;2022802018;2018;0,5235;677310;1293732
MS;3;Governador;12;ODILON DE OLIVEIRA;JUIZ ODILON;PDT;PDT / PRB / PODE;2;Não Eleito;2018-10-28 19:37:40;MS;120000603768;Válido;2022802018;2018;0,4765;616422;1293732
PA;3;Governador;15;HELDER ZAHLUTH BARBALHO;HELDER;MDB;MDB / PP / PRB / PR / PSC / PTB / PHS / PMB / PODE / DC / PTC / PATRI / PSD / AVANTE / PSL / PROS;2;Eleito;2018-10-28 22:16:31;PA;140000621334;Válido;2022802018;2018;0,5543;2068319;3731364
PA;3;Governador;25;MARCIO DESIDÉRIO TEIXEIRA MIRANDA;MARCIO MIRANDA;DEM;DEM / PSDB / PDT / PSB / SOLIDARIEDADE / PRP / PMN / PRTB / PPS;2;Não Eleito;2018-10-28 22:16:31;PA;140000616820;Válido;2022802018;2018;0,4457;1663045;3731364
RJ;3;Governador;20;WILSON JOSÉ WITZEL;WILSON WITZEL;PSC;PSC / PROS;2;Eleito;2018-10-28 20:16:57;RJ;190000612301;Válido;2022802018;2018;0,5987;4675355;7809755
RJ;3;Governador;25;EDUARDO DA COSTA PAES;EDUARDO PAES;DEM;DEM / PP / MDB / PTB / SOLIDARIEDADE / PSDB / PPS / PV / DC / PHS / AVANTE / PMN;2;Não Eleito;2018-10-28 20:16:57;RJ;190000609934;Válido;2022802018;2018;0,4013;3134400;7809755
RN;3;Governador;13;MARIA DE FATIMA BEZERRA;FATIMA BEZERRA;PT;PT / PC do B / PHS;2;Eleito;2018-10-28 20:48:22;RN;200000606727;Válido;2022802018;2018;0,576;1022910;1775945
RN;3;Governador;12;CARLOS EDUARDO NUNES ALVES;CARLOS EDUARDO;PDT;PDT / PP / MDB / PODE / DEM;2;Não Eleito;2018-10-28 20:48:22;RN;200000610642;Válido;2022802018;2018;0,424;753035;1775945
RO;3;Governador;17;MARCOS JOSE ROCHA DOS SANTOS;CORONEL MARCOS ROCHA;PSL;PSL;2;Eleito;2018-10-28 20:28:28;RO;220000625838;Válido;2022802018;2018;0,6634;530188;799220
RO;3;Governador;45;EXPEDITO GONÇALVES FERREIRA JUNIOR;EXPEDITO JUNIOR;PSDB;PSDB / DEM / PSD / PRB / PATRI;2;Não Eleito;2018-10-28 20:28:28;RO;220000609850;Válido;2022802018;2018;0,3366;269032;799220
RR;3;Governador;17;ANTONIO OLIVERIO GARCIA DE ALMEIDA;ANTONIO DENARIUM;PSL;PSL / PRB / PTC / PRP / PROS / PSC / PPL / PATRI;2;Eleito;2018-10-28 22:32:27;RR;230000609415;Válido;2022802018;2018;0,5334;136612;256101
RR;3;Governador;45;JOSE DE ANCHIETA JUNIOR;ANCHIETA;PSDB;PSDB / DEM / MDB / PSD / PPS / SOLIDARIEDADE / DC;2;Não Eleito;2018-10-28 22:32:27;RR;230000601679;Válido;2022802018;2018;0,4666;119489;256101
RS;3;Governador;45;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;EDUARDO LEITE;PSDB;PSDB / PTB / PRB / PPS / PHS / REDE / PP;2;Eleito;2019-02-25 18:13:43;RS;210000622367;Válido;2022802018;2018;0,5362;3128317;5833918
RS;3;Governador;15;JOSÉ IVO SARTORI;JOSÉ IVO SARTORI;MDB;MDB / PSD / PSB / PR / PSC / PATRI / PRP / PMN / PTC;2;Não Eleito;2019-02-25 18:13:43;RS;210000606873;Válido;2022802018;2018;0,4638;2705601;5833918
SC;3;Governador;17;CARLOS MOISÉS DA SILVA;COMANDANTE MOISÉS;PSL;PSL;2;Eleito;2018-10-28 20:06:41;SC;240000609724;Válido;2022802018;2018;0,7109;2644179;3719421
SC;3;Governador;55;GELSON LUIZ MERÍSIO;GELSON MERÍSIO;PSD;PSD / PRB / PDT / PSB / PODE / SOLIDARIEDADE / PROS / PSC / PC do B / PHS / PP / DEM / PRP / PPL / PV;2;Não Eleito;2018-10-28 20:06:41;SC;240000621321;Válido;2022802018;2018;0,2891;1075242;3719421
SE;3;Governador;55;BELIVALDO CHAGAS SILVA;BELIVALDO;PSD;PP / MDB / DC / PC do B / PSD / PT / PHS;2;Eleito;2018-10-28 20:44:11;SE;260000623573;Válido;2022802018;2018;0,6472;679051;1049212
SE;3;Governador;40;ANTONIO CARLOS VALADARES FILHO;VALADARES FILHO;PSB;PSB / PDT / PPL / PTB / PROS / PRP;2;Não Eleito;2018-10-28 20:44:11;SE;260000614791;Válido;2022802018;2018;0,3528;370161;1049212
SP;3;Governador;45;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;JOÃO DORIA;PSDB;PSDB / DEM / PSD / PRB / PP / PTC;2;Eleito;2018-10-28 22:01:43;SP;250000612596;Válido;2022802018;2018;0,5175;10990350;21239090
