sg_uf;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AC;3;Governador;13;SEBASTIÃO AFONSO VIANA MACEDO NEVES;TIÃO VIANA;PT;PC do B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV;1;Eleito;2011-10-20 12:59:02;AC;10000000122;#NE;14417;2010;0,5051;170202;336942
AC;3;Governador;45;SEBASTIAO BOCALOM RODRIGUES;TIAO BOCALOM;PSDB;DEM / PMDB / PMN / PPS / PSC / PSDB / PSL / PT do B;1;Não Eleito;2011-10-20 12:59:02;AC;10000000130;#NE;14417;2010;0,4918;165705;336942
AC;3;Governador;28;ANTONIO NERES GOUVEIA;GOUVEIA O TIJOLINHO;PRTB;PRTB / PSOL;1;Não Eleito;2011-10-20 12:59:02;AC;10000000508;#NE;14417;2010;0,0031;1035;336942
AL;3;Governador;45;TEOTONIO BRANDAO VILELA FILHO;TEOTONIO VILELA;PSDB;DEM / PP / PPS / PSB / PSC / PSDB;1;Segundo turno;2011-07-26 17:41:34;AL;20000000301;#NE;14417;2010;0,3958;534962;1351484
AL;3;Governador;12;RONALDO AUGUSTO LESSA SANTOS;RONALDO LESSA;PDT;PC do B / PDT / PMDB / PR / PRP / PSDC / PT / PT do B;1;Segundo turno;2011-07-26 17:41:34;AL;20000000273;#NE;14417;2010;0,2916;394155;1351484
AL;3;Governador;14;FERNANDO AFFONSO COLLOR DE MELLO;COLLOR;PTB;PHS / PMN / PRB / PSL / PTB / PTC;1;Não Eleito;2011-07-26 17:41:34;AL;20000000059;#NE;14417;2010;0,2881;389337;1351484
AL;3;Governador;50;MARIO AGRA JUNIOR;MARIO AGRA;PSOL;PSOL;1;Não Eleito;2011-07-26 17:41:34;AL;20000000001;#NE;14417;2010;0,0137;18520;1351484
AL;3;Governador;21;TONY CLOVES PEREIRA;TONY CLOVES;PCB;PCB;1;Não Eleito;2011-07-26 17:41:34;AL;20000000503;#NE;14417;2010;0,0065;8758;1351484
AL;3;Governador;28;JEFERSON PIONES DA SILVA;JEFERSON PIONES;PRTB;PRTB / PTN / PV;1;Não Eleito;2011-07-26 17:41:34;AL;20000000313;#NE;14417;2010;0,0043;5752;1351484
AM;3;Governador;33;OMAR JOSE ABDEL AZIZ;OMAR AZIZ;PMN;DEM / PC do B / PHS / PMDB / PMN / PP / PRB / PRP / PRTB / PSC / PTB / PTC / PTN;1;Eleito;2011-06-06 14:06:37;AM;40000000289;#NE;14417;2010;0,6387;943955;1477948
AM;3;Governador;22;ALFREDO PEREIRA DO NASCIMENTO;ALFREDO NASCIMENTO;PR;PDT / PR / PSB / PSDC / PSL / PT / PT do B;1;Não Eleito;2011-06-06 14:06:37;AM;40000000249;#NE;14417;2010;0,2591;382935;1477948
AM;3;Governador;23;HISSA NAGIB ABRAHAO FILHO;HISSA ABRAHAO;PPS;PPS / PSDB / PV;1;Não Eleito;2011-06-06 14:06:37;AM;40000000599;#NE;14417;2010;0,0936;138281;1477948
AM;3;Governador;21;LUIZ MANOEL NAVARRO;LUIZ NAVARRO;PCB;PCB;1;Não Eleito;2011-06-06 14:06:37;AM;40000000297;#NE;14417;2010;0,0039;5726;1477948
