cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
1;Presidente;17;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;PSL;PSL / PRTB;1;Segundo turno;2019-01-22 14:12:19;BR;280000614517;Válido;2022802018;2018;0,4603;49277010;107050749
1;Presidente;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;PT / PC do B / PROS;1;Segundo turno;2019-01-22 14:12:19;BR;280000629808;Válido;2022802018;2018;0,2928;31342051;107050749
1;Presidente;12;CIRO FERREIRA GOMES;CIRO GOMES;PDT;PDT / AVANTE;1;Não Eleito;2019-01-22 14:12:19;BR;280000605589;Válido;2022802018;2018;0,1247;13344371;107050749
1;Presidente;45;GERALDO JOSÉ RODRIGUES ALCKMIN FILHO;GERALDO ALCKMIN;PSDB;PSDB / PTB / PP / PR / DEM / SOLIDARIEDADE / PPS / PRB / PSD;1;Não Eleito;2019-01-22 14:12:19;BR;280000602477;Válido;2022802018;2018;0,0476;5096350;107050749
1;Presidente;30;JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO;JOÃO AMOÊDO;NOVO;NOVO;1;Não Eleito;2019-01-22 14:12:19;BR;280000607640;Válido;2022802018;2018;0,025;2679745;107050749
1;Presidente;51;BENEVENUTO DACIOLO FONSECA DOS SANTOS;CABO DACIOLO;PATRI;PATRI;1;Não Eleito;2019-01-22 14:12:19;BR;280000602500;Válido;2022802018;2018;0,0126;1348323;107050749
1;Presidente;15;HENRIQUE DE CAMPOS MEIRELLES;HENRIQUE MEIRELLES;MDB;MDB / PHS;1;Não Eleito;2019-01-22 14:12:19;BR;280000622281;Válido;2022802018;2018;0,012;1288950;107050749
1;Presidente;18;MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA;MARINA SILVA;REDE;REDE / PV;1;Não Eleito;2019-01-22 14:12:19;BR;280000622171;Válido;2022802018;2018;0,01;1069578;107050749
1;Presidente;19;ALVARO FERNANDES DIAS;ALVARO DIAS;PODE;PODE / PRP / PSC / PTC;1;Não Eleito;2019-01-22 14:12:19;BR;280000618462;Válido;2022802018;2018;0,008;859601;107050749
1;Presidente;50;GUILHERME CASTRO BOULOS;GUILHERME BOULOS;PSOL;PSOL / PCB;1;Não Eleito;2019-01-22 14:12:19;BR;280000601016;Válido;2022802018;2018;0,0058;617122;107050749
1;Presidente;16;VERA LUCIA PEREIRA DA SILVA SALGADO;VERA;PSTU;PSTU;1;Não Eleito;2019-01-22 14:12:19;BR;280000601173;Válido;2022802018;2018;0,0005;55762;107050749
1;Presidente;27;JOSE MARIA EYMAEL;EYMAEL;DC;DC;1;Não Eleito;2019-01-22 14:12:19;BR;280000624085;Válido;2022802018;2018;0,0004;41710;107050749
1;Presidente;54;JOÃO VICENTE FONTELLA GOULART;JOÃO GOULART FILHO;PPL;PPL;1;Não Eleito;2019-01-22 14:12:19;BR;280000624082;Válido;2022802018;2018;0,0003;30176;107050749
