cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
1;Presidente;13;DILMA VANA ROUSSEFF;DILMA;PT;PC do B / PDT / PMDB / PR / PRB / PSB / PSC / PT / PTC / PTN;1;Segundo turno;2014-11-21 16:49:29;BR;280000000005;#NE;14417;2010;0,4691;47651434;101590153
1;Presidente;45;JOSÉ SERRA;JOSÉ SERRA;PSDB;DEM / PMN / PPS / PSDB / PT do B / PTB;1;Segundo turno;2014-11-21 16:49:29;BR;280000000011;#NE;14417;2010;0,3261;33132283;101590153
1;Presidente;43;MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA;MARINA SILVA;PV;PV;1;Não Eleito;2014-11-21 16:49:29;BR;280000000001;#NE;14417;2010;0,1933;19636359;101590153
1;Presidente;50;PLÍNIO SOARES DE ARRUDA SAMPAIO;PLÍNIO;PSOL;PSOL;1;Não Eleito;2014-11-21 16:49:29;BR;280000000019;#NE;14417;2010;0,0087;886816;101590153
1;Presidente;27;JOSE MARIA EYMAEL;EYMAEL;PSDC;PSDC;1;Não Eleito;2014-11-21 16:49:29;BR;280000000015;#NE;14417;2010;0,0009;89350;101590153
1;Presidente;16;JOSÉ MARIA DE ALMEIDA;ZÉ MARIA;PSTU;PSTU;1;Não Eleito;2014-11-21 16:49:29;BR;280000000003;#NE;14417;2010;0,0008;84609;101590153
1;Presidente;28;JOSE LEVY FIDELIX DA CRUZ;LEVY FIDELIX;PRTB;PRTB;1;Não Eleito;2014-11-21 16:49:29;BR;280000000009;#NE;14417;2010;0,0006;57960;101590153
1;Presidente;21;IVAN MARTINS PINHEIRO;IVAN PINHEIRO;PCB;PCB;1;Não Eleito;2014-11-21 16:49:29;BR;280000000017;#NE;14417;2010;0,0004;39136;101590153
1;Presidente;29;RUI COSTA PIMENTA;RUI COSTA PIMENTA;PCO;PCO;1;Não Eleito;2014-11-21 16:49:29;BR;280000000007;#NE;14417;2010;0,0001;12206;101590153
