sg_uf;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AC;3;Governador;11;GLADSON DE LIMA CAMELI;GLADSON CAMELI;PP;PP / PDT / Federação PSDB Cidadania(PSDB/CIDADANIA) / PODE / SOLIDARIEDADE / PATRIOTA / DC / PMN / PMB;1;Eleito;2022-10-02 23:20:24;AC;10001612476;Válido;2040602022;2022;0,5675;242100;426600
AC;3;Governador;13;JORGE NEY VIANA MACEDO NEVES;JORGE VIANA;PT;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);1;Não Eleito;2022-10-02 23:20:24;AC;10001616169;Válido;2040602022;2022;0,2421;103265;426600
AC;3;Governador;15;CYLMARA FERNANDES DA ROCHA GRIPP;MARA ROCHA;MDB;REPUBLICANOS / MDB / PRTB / PL;1;Não Eleito;2022-10-02 23:20:24;AC;10001639519;Válido;2040602022;2022;0,1106;47173;426600
AC;3;Governador;55;SÉRGIO DE OLIVEIRA CUNHA;PETECÃO;PSD;PROS / AVANTE / PSD / PTB;1;Não Eleito;2022-10-02 23:20:24;AC;10001601556;Válido;2040602022;2022;0,0642;27393;426600
AC;3;Governador;44;MARCIO MIGUEL BITTAR;MARCIO BITTAR;UNIÃO;UNIÃO;1;Não Eleito;2022-10-02 23:20:24;AC;10001623440;Válido;2040602022;2022;0,0112;4773;426600
AC;3;Governador;50;NILSON EUCLIDES DA SILVA;PROFESSOR NILSON;PSOL;Federação PSOL REDE(PSOL/REDE);1;Não Eleito;2022-10-02 23:20:24;AC;10001595336;Válido;2040602022;2022;0,0026;1125;426600
AC;3;Governador;36;DAVID SOARES HALL;DAVID HALL;AGIR;AGIR;1;Não Eleito;2022-10-02 23:20:24;AC;10001606307;Válido;2040602022;2022;0,0018;771;426600
AL;3;Governador;15;PAULO SURUAGY DO AMARAL DANTAS;PAULO DANTAS;MDB;MDB / Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PDT / PSC / PODE / SOLIDARIEDADE;1;Segundo turno;2022-10-02 23:15:28;AL;20001697934;Válido;2040602022;2022;0,4664;708984;1520131
AL;3;Governador;44;RODRIGO SANTOS CUNHA;RODRIGO CUNHA;UNIÃO;UNIÃO / Federação PSDB Cidadania(PSDB/CIDADANIA) / PSB / PP;1;Segundo turno;2022-10-02 23:15:28;AL;20001695808;Válido;2040602022;2022;0,2679;407220;1520131
AL;3;Governador;14;FERNANDO AFFONSO COLLOR DE MELLO;COLLOR;PTB;PL / AGIR / PTB;1;Não Eleito;2022-10-02 23:15:28;AL;20001697076;Válido;2040602022;2022;0,1471;223585;1520131
AL;3;Governador;55;RUI SOARES PALMEIRA;RUI PALMEIRA;PSD;PSD / REPUBLICANOS / PATRIOTA;1;Não Eleito;2022-10-02 23:15:28;AL;20001651898;Válido;2040602022;2022;0,1038;157746;1520131
AL;3;Governador;50;CICERO FERREIRA DE ALBUQUERQUE;PROFESSOR CICERO ALBUQUERQUE;PSOL;Federação PSOL REDE(PSOL/REDE);1;Não Eleito;2022-10-02 23:15:28;AL;20001610327;Válido;2040602022;2022;0,0117;17749;1520131
AL;3;Governador;35;LUCIANO VALDOMIRO SILVA FONTES;BOMBEIRO LUCIANO FONTES;PMB;PMB;1;Não Eleito;2022-10-02 23:15:28;AL;20001717270;Válido;2040602022;2022;0,0018;2737;1520131
AL;3;Governador;28;LUCIANO ANDRE COSTA DE ALMEIDA;LUCIANO ALMEIDA;PRTB;PRTB / PROS;1;Não Eleito;2022-10-02 23:15:28;AL;20001653458;Válido;2040602022;2022;0,0014;2110;1520131
AM;3;Governador;44;WILSON MIRANDA LIMA;WILSON LIMA;UNIÃO;REPUBLICANOS / PP / PTB / PSC / PL / PRTB / PMN / UNIÃO / PATRIOTA / AVANTE;1;Segundo turno;2022-10-03 19:32:07;AM;40001619528;Válido;2040602022;2022;0,4282;819784;1914400
AM;3;Governador;15;CARLOS EDUARDO DE SOUZA BRAGA;EDUARDO BRAGA;MDB;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / MDB / PSD;1;Segundo turno;2022-10-03 19:32:07;AM;40001610345;Válido;2040602022;2022;0,2099;401817;1914400
AM;3;Governador;23;AMAZONINO ARMANDO MENDES;AMAZONINO MENDES;CIDADANIA;Federação PSDB Cidadania(PSDB/CIDADANIA);1;Não Eleito;2022-10-03 19:32:07;AM;40001643027;Válido;2040602022;2022;0,1856;355377;1914400
AM;3;Governador;77;LUIS RICARDO SALDANHA NICOLAU;RICARDO NICOLAU;SOLIDARIEDADE;PSB / SOLIDARIEDADE;1;Não Eleito;2022-10-03 19:32:07;AM;40001639064;Válido;2040602022;2022;0,1137;217588;1914400
AM;3;Governador;12;CAROLINE DA SILVA BRAZ;CAROL BRAZ;PDT;PDT;1;Não Eleito;2022-10-03 19:32:07;AM;40001618329;Válido;2040602022;2022;0,0455;87114;1914400
AM;3;Governador;50;ISRAEL FONTES DUTRA;DR ISRAEL TUYUKA;PSOL;Federação PSOL REDE(PSOL/REDE);1;Não Eleito;2022-10-03 19:32:07;AM;40001719168;Válido;2040602022;2022;0,0111;21229;1914400
AM;3;Governador;19;JOSE HENRIQUE OLIVEIRA;HENRIQUE OLIVEIRA;PODE;PROS / PODE;1;Não Eleito;2022-10-03 19:32:07;AM;40001719317;Válido;2040602022;2022;0,005;9596;1914400
AM;3;Governador;36;NAIR QUEIROZ BLAIR;NAIR BLAIR;AGIR;AGIR;1;Não Eleito;2022-10-03 19:32:07;AM;40001718559;Anulado sub judice;2040602022;2022;0,001;0;1914400
AP;3;Governador;77;CLÉCIO LUÍS VILHENA VIEIRA;CLÉCIO;SOLIDARIEDADE;Federação PSDB Cidadania(PSDB/CIDADANIA) / REPUBLICANOS / PP / PL / PDT / UNIÃO / SOLIDARIEDADE;1;Eleito;2024-07-19 17:14:47;AP;30001619676;Válido;2040602022;2022;0,5377;222168;413178
AP;3;Governador;55;JAIME DOMINGUES NUNES;JAIME NUNES;PSD;PTB / PSC / PROS / PSD / AGIR;1;Não Eleito;2024-07-19 17:14:47;AP;30001643108;Válido;2040602022;2022;0,4265;176208;413178
AP;3;Governador;28;GESIEL DE SOUZA OLIVEIRA;GESIEL DE OLIVEIRA;PRTB;PRTB;1;Não Eleito;2024-07-19 17:14:47;AP;30001639521;Válido;2040602022;2022;0,0211;8704;413178
AP;3;Governador;15;GILVAM PINHEIRO BORGES;GILVAM BORGES;MDB;PROS / PODE / MDB;1;Não Eleito;2024-07-19 17:14:47;AP;30001620571;Válido;2040602022;2022;0,0109;4510;413178
AP;3;Governador;16;GIANFRANCO GUSMÃO DE AZEVEDO;GIANFRANCO;PSTU;PSTU;1;Não Eleito;2024-07-19 17:14:47;AP;30001610045;Válido;2040602022;2022;0,0038;1588;413178
BA;3;Governador;13;JERÔNIMO RODRIGUES SOUZA;JERÔNIMO;PT;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PSB / PSD / AVANTE / MDB;1;Segundo turno;2023-03-17 09:50:11;BA;50001603638;Válido;2040602022;2022;0,4945;4019830;8129868
BA;3;Governador;44;ANTONIO CARLOS PEIXOTO DE MAGALHÃES NETO;ACM NETO;UNIÃO;Federação PSDB Cidadania(PSDB/CIDADANIA) / REPUBLICANOS / PP / PDT / PTB / PODE / PSC / DC / PRTB / UNIÃO / SOLIDARIEDADE / PMN;1;Segundo turno;2023-03-17 09:50:11;BA;50001609248;Válido;2040602022;2022;0,408;3316711;8129868
BA;3;Governador;22;JOÃO INÁCIO RIBEIRO ROMA NETO;JOÃO ROMA;PL;PMB / PATRIOTA / PL / PROS / AGIR;1;Não Eleito;2023-03-17 09:50:11;BA;50001604884;Válido;2040602022;2022;0,0908;738311;8129868
BA;3;Governador;50;KLEBER ROSA DE SOUZA;KLEBER ROSA;PSOL;Federação PSOL REDE(PSOL/REDE);1;Não Eleito;2023-03-17 09:50:11;BA;50001600527;Válido;2040602022;2022;0,0059;48239;8129868
BA;3;Governador;21;GIOVANI DAMICO;GIOVANI DAMICO;PCB;PCB;1;Não Eleito;2023-03-17 09:50:11;BA;50001719849;Válido;2040602022;2022;0,0007;5951;8129868
BA;3;Governador;29;MARCELO MILLET OLIVEIRA;MARCELO MILLET;PCO;PCO;1;Não Eleito;2023-03-17 09:50:11;BA;50001695915;Anulado;2040602022;2022;0,0001;0;8129868
CE;3;Governador;13;ELMANO DE FREITAS DA COSTA;ELMANO DE FREITAS;PT;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PP / MDB / PRTB / Federação PSOL REDE(PSOL/REDE) / SOLIDARIEDADE;1;Eleito;2022-10-10 14:55:48;CE;60001633585;Válido;2040602022;2022;0,5402;2808300;5198892
CE;3;Governador;44;WAGNER SOUSA GOMES;CAPITÃO WAGNER;UNIÃO;PODE / AVANTE / PL / REPUBLICANOS / PTB / PROS / UNIÃO;1;Não Eleito;2022-10-10 14:55:48;CE;60001608845;Válido;2040602022;2022;0,3172;1649213;5198892
CE;3;Governador;12;ROBERTO CLÁUDIO RODRIGUES BEZERRA;ROBERTO CLÁUDIO;PDT;PMN / PATRIOTA / AGIR / PMB / PDT / PSD / PSB / PSC / DC;1;Não Eleito;2022-10-10 14:55:48;CE;60001612926;Válido;2040602022;2022;0,1414;734976;5198892
CE;3;Governador;21;FRANCISCO RAIMUNDO MALTA DE ARAÚJO;CHICO MALTA;PCB;PCB;1;Não Eleito;2022-10-10 14:55:48;CE;60001692640;Válido;2040602022;2022;0,0006;3015;5198892
CE;3;Governador;80;SERLEY DE SOUSA LEAL;SERLEY LEAL;UP;UP;1;Não Eleito;2022-10-10 14:55:48;CE;60001634109;Válido;2040602022;2022;0,0004;1881;5198892
CE;3;Governador;16;JOSÉ BATISTA NETO;ZÉ BATISTA;PSTU;PSTU;1;Não Eleito;2022-10-10 14:55:48;CE;60001608950;Válido;2040602022;2022;0,0003;1507;5198892
DF;3;Governador;15;IBANEIS ROCHA BARROS JÚNIOR;IBANEIS ROCHA;MDB;PTB / AVANTE / PROS / AGIR / PP / SOLIDARIEDADE / MDB / PL / PATRIOTA;1;Eleito;2022-12-15 15:22:43;DF;70001651044;Válido;2040602022;2022;0,5031;832633;1655043
DF;3;Governador;43;LEANDRO ANTÔNIO GRASS PEIXOTO;LEANDRO GRASS;PV;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);1;Não Eleito;2022-12-15 15:22:43;DF;70001597108;Válido;2040602022;2022;0,2626;434587;1655043
DF;3;Governador;55;PAULO OCTÁVIO ALVES PEREIRA;PAULO OCTÁVIO PO;PSD;PODE / PATRIOTA / PSD / PSC / PMB;1;Não Eleito;2022-12-15 15:22:43;DF;70001723172;Válido;2040602022;2022;0,0748;123715;1655043
DF;3;Governador;14;ELZIOVAN MATIAS MORENO LIMA;CORONEL MORENO;PTB;PTB;1;Não Eleito;2022-12-15 15:22:43;DF;70001667057;Válido;2040602022;2022;0,0569;94100;1655043
DF;3;Governador;12;LEILA GOMES DE BARROS RÊGO;LEILA DO VÔLEI;PDT;PDT;1;Não Eleito;2022-12-15 15:22:43;DF;70001615674;Válido;2040602022;2022;0,0481;79597;1655043
DF;3;Governador;45;IZALCI LUCAS FERREIRA;IZALCI;PSDB;Federação PSDB Cidadania(PSDB/CIDADANIA) / PRTB;1;Não Eleito;2022-12-15 15:22:43;DF;70001651176;Válido;2040602022;2022;0,0426;70584;1655043
DF;3;Governador;50;CLEMENTINA ARAÚJO BAGNO DA SILVA;KEKA BAGNO;PSOL;Federação PSOL REDE(PSOL/REDE);1;Não Eleito;2022-12-15 15:22:43;DF;70001601117;Válido;2040602022;2022;0,0082;13613;1655043
DF;3;Governador;27;LUIZ CARLOS LUCAS SALLES;LUCAS SALLES;DC;DC;1;Não Eleito;2022-12-15 15:22:43;DF;70001653885;Válido;2040602022;2022;0,0025;4218;1655043
DF;3;Governador;21;TEODORO ANTONIO DA CRUZ FILHO;TEODORO DA CRUZ TÉO;PCB;PCB;1;Não Eleito;2022-12-15 15:22:43;DF;70001699367;Válido;2040602022;2022;0,0007;1155;1655043
DF;3;Governador;16;ROBSON RAYMUNDO DA SILVA;ROBSON;PSTU;PSTU;1;Não Eleito;2022-12-15 15:22:43;DF;70001611377;Válido;2040602022;2022;0,0005;841;1655043
ES;3;Governador;40;JOSÉ RENATO CASAGRANDE;RENATO CASAGRANDE;PSB;MDB / PP / PROS / PSB / PODE / Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / Federação PSDB Cidadania(PSDB/CIDADANIA) / PDT;1;Segundo turno;2022-10-02 20:44:47;ES;80001649123;Válido;2040602022;2022;0,4694;976652;2080648
ES;3;Governador;22;CARLOS HUMBERTO MANNATO;MANATO;PL;PTB / PL;1;Segundo turno;2022-10-02 20:44:47;ES;80001721262;Válido;2040602022;2022;0,3848;800598;2080648
ES;3;Governador;55;GUERINO LUIZ ZANON;GUERINO ZANON;PSD;PSD / PMB / DC;1;Não Eleito;2022-10-02 20:44:47;ES;80001723584;Válido;2040602022;2022;0,0703;146177;2080648
ES;3;Governador;18;AUDIFAX CHARLES PIMENTEL BARCELOS;AUDIFAX;REDE;SOLIDARIEDADE / AVANTE / PROS / Federação PSOL REDE(PSOL/REDE);1;Não Eleito;2022-10-02 20:44:47;ES;80001713735;Válido;2040602022;2022;0,0651;135512;2080648
ES;3;Governador;30;ARIDELMO JOSÉ CAMPANHARO TEIXEIRA;ARIDELMO ;NOVO;NOVO;1;Não Eleito;2022-10-02 20:44:47;ES;80001606304;Válido;2040602022;2022;0,0076;15786;2080648
ES;3;Governador;16;VINICIUS CASSIO CORREA DE SOUSA;CAPITÃO VINICIUS SOUSA;PSTU;PSTU;1;Não Eleito;2022-10-02 20:44:47;ES;80001609415;Válido;2040602022;2022;0,0022;4505;2080648
ES;3;Governador;28;CLAUDIO CESAR MATTOS PAIVA;CLAUDIO PAIVA;PRTB;PRTB;1;Não Eleito;2022-10-02 20:44:47;ES;80001721631;Válido;2040602022;2022;0,0007;1418;2080648
