sg_uf;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AC;RIO BRANCO;11;Prefeito;11;SEBASTIÃO BOCALOM RODRIGUES;TIÃO BOCALOM;PP;PSD / PP;2;Eleito;2020-11-29 21:11:23;01392;10001003637;Válido;2030402020;2020;0,6293;104746;166448
AC;RIO BRANCO;11;Prefeito;40;MARIA DO SOCORRO NERI MEDEIROS DE SOUZA;SOCORRO NERI;PSB;PSB / PODE / PROS / SOLIDARIEDADE / PDT / PV / DEM / PTC;2;Não Eleito;2020-11-29 21:11:23;01392;10001154203;Válido;2030402020;2020;0,3707;61702;166448
AL;MACEIÓ;11;Prefeito;40;JOÃO HENRIQUE HOLANDA CALDAS;JHC;PSB;PSB / PDT / PSDB;2;Eleito;2020-11-29 19:30:11;27855;20000842791;Válido;2030402020;2020;0,5864;222147;378851
AL;MACEIÓ;11;Prefeito;15;ALFREDO GASPAR DE MENDONÇA NETO;ALFREDO GASPAR DE MENDONÇA;MDB;PL / AVANTE / MDB / PRTB / PSC / PTC / PV / PSD / PODE;2;Não Eleito;2020-11-29 19:30:11;27855;20000774385;Válido;2030402020;2020;0,4136;156704;378851
AM;MANAUS;11;Prefeito;70;DAVID ANTONIO ABISAI PEREIRA DE ALMEIDA;DAVID ALMEIDA;AVANTE;AVANTE / PMB / PTC / PRTB / PV / DEM / PROS;2;Eleito;2020-11-29 20:07:39;02550;40000868846;Válido;2030402020;2020;0,5127;466970;910717
AM;MANAUS;11;Prefeito;19;AMAZONINO ARMANDO MENDES;AMAZONINO MENDES;PODE;PSL / CIDADANIA / PODE / MDB;2;Não Eleito;2020-11-29 20:07:39;02550;40000793782;Válido;2030402020;2020;0,4873;443747;910717
AP;MACAPÁ;11;Prefeito;23;ANTONIO PAULO DE OLIVEIRA FURLAN;DR FURLAN;CIDADANIA;CIDADANIA / MDB / PMN;2;Eleito;2020-12-20 18:26:00;06050;30000747583;Válido;2032002020;2020;0,5567;101091;181590
AP;MACAPÁ;11;Prefeito;25;JOSE SAMUEL ALCOLUMBRE TOBELEM;JOSIEL;DEM;PDT / PSC / PL / PV / PSDB / PSD / SOLIDARIEDADE / PROS / AVANTE / REPUBLICANOS / PP / DEM;2;Não Eleito;2020-12-20 18:26:00;06050;30000676677;Válido;2032002020;2020;0,4433;80499;181590
BA;FEIRA DE SANTANA;11;Prefeito;15;COLBERT MARTINS DA SILVA FILHO;COLBERT MARTINS;MDB;PSD / DEM / PV / PROS / PSC / MDB / PATRIOTA / PSDB / PL / REDE;2;Eleito;2020-11-29 19:21:01;35157;50000732481;Válido;2030402020;2020;0,5442;164831;302904
BA;FEIRA DE SANTANA;11;Prefeito;13;JOSE CERQUEIRA DE SANTANA NETO;ZÉ NETO;PT;PDT / PT / AVANTE / PP / PC do B;2;Não Eleito;2020-11-29 19:21:01;35157;50000824378;Válido;2030402020;2020;0,4558;138073;302904
