cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
1;Presidente;13;DILMA VANA ROUSSEFF;DILMA;PT;PT / PMDB / PSD / PP / PR / PROS / PDT / PC do B / PRB;2;Eleito;2014-10-27 00:13:59;BR;280000000083;#NE;680;2014;0,5164;54501118;105542273
1;Presidente;45;AÉCIO NEVES DA CUNHA;AÉCIO NEVES;PSDB;PSDB / PMN / SD / DEM / PEN / PTN / PTB / PTC / PT do B;2;Não Eleito;2014-10-27 00:13:59;BR;280000000085;#NE;680;2014;0,4836;51041155;105542273
