sg_uf;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;aa_eleicao;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
AC;3;Governador;13;SEBASTIÃO AFONSO VIANA MACEDO NEVES;TIÃO VIANA;PT;PDT / PRB / PT / PSL / PTN / PSDC / PHS / PSB / PRP / PEN / PPL / PC do B / PROS / PTB;1;Segundo turno;2014-10-05 22:19:39;AC;10000000152;#NE;680;2014;0,4973;193253;388590
AC;3;Governador;45;MÁRCIO MIGUEL BITTAR;MÁRCIO BITTAR;PSDB;PMDB / PSDB / PT do B / PSC / PTC / PPS / PR / SD / PP / PSD;1;Segundo turno;2014-10-05 22:19:39;AC;10000000003;#NE;680;2014;0,301;116948;388590
AC;3;Governador;25;SEBASTIÃO BOCALOM RODRIGUES;BOCALOM;DEM;DEM / PV / PMN;1;Não Eleito;2014-10-05 22:19:39;AC;10000000364;#NE;680;2014;0,1961;76218;388590
AC;3;Governador;50;ANTONIO DA CRUZ DA ROCHA ALVES;ANTONIO ROCHA;PSOL;PSOL;1;Não Eleito;2014-10-05 22:19:39;AC;10000000146;#NE;680;2014;0,0056;2171;388590
AL;3;Governador;15;JOSE RENAN VASCONCELOS CALHEIROS FILHO;RENAN FILHO;PMDB;PV / PT do B / PMDB / PROS / PC do B / PSC / PHS / PTB / PSD / PDT / PT;1;Eleito;2014-10-06 00:50:10;AL;20000000202;#NE;680;2014;0,5216;670310;1285091
AL;3;Governador;11;BENEDITO DE LIRA;BIU BENEDITO DE LIRA;PP;PPS / PP / PSDC / PRP / PR / PSL / PSB / DEM / SD;1;Não Eleito;2014-10-06 00:50:10;AL;20000000100;#NE;680;2014;0,3391;435827;1285091
AL;3;Governador;45;JULIO CEZAR DA SILVA;JULIO CEZAR;PSDB;PSDB / PRB;1;Não Eleito;2014-10-06 00:50:10;AL;20000000561;#NE;680;2014;0,0792;101757;1285091
AL;3;Governador;50;MÁRIO AGRA JÚNIOR;MÁRIO AGRA;PSOL;PSOL / PSTU;1;Não Eleito;2014-10-06 00:50:10;AL;20000000004;#NE;680;2014;0,0473;60816;1285091
AL;3;Governador;36;JOATHAS LINS DE ALBUQUERQUE;JOATHAS ALBUQUERQUE;PTC;PTC;1;Não Eleito;2014-10-06 00:50:10;AL;20000000401;#NE;680;2014;0,0062;7879;1279475
AL;3;Governador;21;GOLBERY LUIZ LESSA DE MOURA;GOLBERY LESSA;PCB;PCB;1;Não Eleito;2014-10-06 00:50:10;AL;20000000001;#NE;680;2014;0,0031;3950;1281831
AL;3;Governador;51;ADROALDO FREITAS GOULART FILHO;CORONEL GOULART;PEN;PEN;1;Não Eleito;2014-10-06 00:50:10;AL;20000000026;#NE;680;2014;0,0021;2732;1285091
AL;3;Governador;19;LUCIANO BALBINO DOS SANTOS;LUCIANO BALBINO;PTN;PTN;1;Não Eleito;2014-10-06 00:50:10;AL;20000000032;#NE;680;2014;0,0015;1820;1207377
AM;3;Governador;15;CARLOS EDUARDO DE SOUZA BRAGA;EDUARDO BRAGA;PMDB;PMDB / PP / PT / PDT / PTB / PPS / PRB / PSDC / PPL / PC do B;1;Segundo turno;2014-10-06 09:33:23;AM;40000000072;#NE;680;2014;0,4316;709058;1643007
AM;3;Governador;90;JOSÉ MELO DE OLIVEIRA;JOSÉ MELO;PROS;PROS / DEM / PSL / PTN / PSC / PR / PRTB / PHS / PTC / PV / PRP / PSDB / PEN / PSD / SD / PT do B;1;Segundo turno;2014-10-06 09:33:23;AM;40000000487;#NE;680;2014;0,4304;707151;1643007
AM;3;Governador;40;MARCELO RAMOS RODRIGUES;MARCELO RAMOS;PSB;PSB;1;Não Eleito;2014-10-06 09:33:23;AM;40000000600;#NE;680;2014;0,1094;179758;1643007
AM;3;Governador;33;MARCO ANTÔNIO SOUZA RIBEIRO DA COSTA;CHICO PRETO;PMN;PMN;1;Não Eleito;2014-10-06 09:33:23;AM;40000000880;#NE;680;2014;0,018;29499;1637424
AM;3;Governador;50;ABEL RODRIGUES ALVES;ABEL ALVES;PSOL;PSOL;1;Não Eleito;2014-10-06 09:33:23;AM;40000000711;#NE;680;2014;0,0052;8448;1618881
AM;3;Governador;16;HERBERT AMAZONAS MASSULO;HERBERT AMAZONAS;PSTU;PSTU;1;Não Eleito;2014-10-06 09:33:23;AM;40000000005;#NE;680;2014;0,0031;4897;1581597
AM;3;Governador;21;LUIZ MANOEL NAVARRO;LUIZ NAVARRO;PCB;PCB;1;Não Eleito;2014-10-06 09:33:23;AM;40000000188;#NE;680;2014;0,0027;4196;1577102
AP;3;Governador;12;ANTÔNIO WALDEZ GÓES DA SILVA;WALDEZ;PDT;PP / PDT / PMDB;1;Segundo turno;2014-10-05 22:27:13;AP;30000000088;#NE;680;2014;0,4218;161550;383015
AP;3;Governador;40;CARLOS CAMILO GÓES CAPIBERIBE;CAMILO CAPIBERIBE;PSB;PSB / PT / PSOL / PC do B;1;Segundo turno;2014-10-05 22:27:13;AP;30000000460;#NE;680;2014;0,2753;105445;383015
AP;3;Governador;55;LUIZ CANTUARIA BARRETO;LUCAS BARRETO;PSD;DEM / PSDB / SD / PSD;1;Não Eleito;2014-10-05 22:27:13;AP;30000000057;#NE;680;2014;0,1386;53079;383015
AP;3;Governador;70;BRUNO MANOEL REZENDE;BRUNO MINEIRO;PT do B;PT do B / PRB / PROS / PR / PEN / PV / PHS / PSDC / PTN;1;Não Eleito;2014-10-05 22:27:13;AP;30000000362;#NE;680;2014;0,0787;30135;383015
AP;3;Governador;23;JORGE EMANOEL AMANAJAS CARDOSO;JORGE AMANAJAS;PPS;PSC / PPS / PRTB / PMN / PTC / PRP / PPL / PTB;1;Não Eleito;2014-10-05 22:27:13;AP;30000000140;#NE;680;2014;0,0706;27045;383015
AP;3;Governador;16;GENIVAL CRUZ DE ARAUJO;GENIVAL CRUZ;PSTU;PSTU;1;Não Eleito;2014-10-05 22:27:13;AP;30000000001;#NE;680;2014;0,0139;5306;383015
AP;3;Governador;21;DÉCIO ARAÚJO GOMES;DÉCIO GOMES;PCB;PCB;1;Não Eleito;2014-10-05 22:27:13;AP;30000000135;#NE;680;2014;0,0012;455;378486
BA;3;Governador;13;RUI COSTA DOS SANTOS;RUI COSTA;PT;PT / PP / PSD / PDT / PR / PC do B / PTB / PMN;1;Eleito;2014-10-06 00:52:40;BA;50000000401;#NE;680;2014;0,5453;3558975;6527223
BA;3;Governador;25;PAULO GANEM SOUTO;PAULO SOUTO;DEM;DEM / PSDB / PMDB / SD / PTN / PROS / PRB / PSC / PTC / PV / PPS / PRP / PT do B / PSDC;1;Não Eleito;2014-10-06 00:52:40;BA;50000000620;#NE;680;2014;0,3739;2440409;6527223
BA;3;Governador;40;LIDICE DA MATA E SOUZA;LIDICE DA MATA;PSB;PSB / PSL / PPL;1;Não Eleito;2014-10-06 00:52:40;BA;50000000176;#NE;680;2014;0,0662;432379;6527223
BA;3;Governador;50;MARCOS ANTONIO GUIMARÃES MENDES;MARCOS MENDES;PSOL;PSOL;1;Não Eleito;2014-10-06 00:52:40;BA;50000000007;#NE;680;2014;0,0078;50891;6511495
BA;3;Governador;28;ROGÉRIO TADEU DA LUZ;DA LUZ;PRTB;PRTB / PEN;1;Não Eleito;2014-10-06 00:52:40;BA;50000000845;#NE;680;2014;0,0043;27781;6504191
BA;3;Governador;16;RENATA MALLET GUENA;RENATA MALLET;PSTU;PSTU;1;Não Eleito;2014-10-06 00:52:40;BA;50000000001;#NE;680;2014;0,0026;16788;6484356
CE;3;Governador;13;CAMILO SOBREIRA DE SANTANA;CAMILO;PT;PRB / PP / PDT / PT / PTB / PSL / PRTB / PHS / PMN / PTC / PV / PEN / PPL / PSD / PC do B / PT do B / SD / PROS;1;Segundo turno;2014-10-05 23:48:32;CE;60000000764;#NE;680;2014;0,4781;2039233;4265633
CE;3;Governador;15;EUNÍCIO LOPES DE OLIVEIRA;EUNÍCIO;PMDB;PMDB / PSC / DEM / PSDC / PRP / PSDB / PR / PTN / PPS;1;Segundo turno;2014-10-05 23:48:32;CE;60000000603;#NE;680;2014;0,4641;1979499;4265633
CE;3;Governador;40;ELIANE NOVAES ELEUTERIO TEIXEIRA;ELIANE NOVAIS;PSB;PSB;1;Não Eleito;2014-10-05 23:48:32;CE;60000000093;#NE;680;2014;0,0339;144507;4265633
CE;3;Governador;50;AILTON CLAECIO LOPES DANTAS;AILTON LOPES;PSOL;PSTU / PCB / PSOL;1;Não Eleito;2014-10-05 23:48:32;CE;60000000377;#NE;680;2014;0,024;102394;4265633
DF;3;Governador;40;RODRIGO SOBRAL ROLLEMBERG;ROLLEMBERG;PSB;PSB / SD / PDT / PSD;1;Segundo turno;2014-10-24 14:42:28;DF;70000000434;#NE;680;2014;0,4523;692855;1531871
DF;3;Governador;22;JOFRAN FREJAT;JOFRAN FREJAT;PR;PTB / PR / DEM / PRTB / PMN;1;Segundo turno;2014-10-24 14:42:28;DF;70000001541;#NE;680;2014;0,2797;428522;1531871
DF;3;Governador;13;AGNELO SANTOS QUEIROZ FILHO;AGNELO QUEIROZ;PT;PT / PMDB / PRB / PC do B / PRP / PPL / PV / PP / PTN / PT do B / PSC / PROS / PTC / PSL / PHS / PEN;1;Não Eleito;2014-10-24 14:42:28;DF;70000000818;#NE;680;2014;0,2007;307500;1531871
DF;3;Governador;45;LUIZ CARLOS PIETSCHMANN;LUIZ PITIMAN;PSDB;PSDB / PPS / PSDC;1;Não Eleito;2014-10-24 14:42:28;DF;70000000984;#NE;680;2014;0,0446;68305;1531871
DF;3;Governador;50;ANTÔNIO CARLOS DE ANDRADE;TONINHO DO PSOL;PSOL;PSOL / PSTU / PCB;1;Não Eleito;2014-10-24 14:42:28;DF;70000000167;#NE;680;2014;0,0226;34689;1531871
DF;3;Governador;29;PERCILLIANE MARRARA SILVA;PERCI MARRARA;PCO;PCO;1;Não Eleito;2014-10-24 14:42:28;DF;70000000810;#NE;680;2014;0;0;1531871
ES;3;Governador;15;PAULO CESAR HARTUNG GOMES;PAULO HARTUNG;PMDB;PMDB / PSDB / DEM / SD / PEN / PROS / PRP;1;Eleito;2014-10-05 20:51:30;ES;80000000427;#NE;680;2014;0,5344;1020440;1909594
ES;3;Governador;40;JOSÉ RENATO CASAGRANDE;CASAGRANDE;PSB;PSB / PSDC / PSL / PP / PRTB / PT do B / PPS / PR / PSC / PSD / PTC / PC do B / PV / PHS / PTN / PPL / PMN / PRB / PTB;1;Não Eleito;2014-10-05 20:51:30;ES;80000000284;#NE;680;2014;0,3934;751293;1909594
ES;3;Governador;13;ROBERTO CARLOS TELES BRAGA;ROBERTO CARLOS;PT;PDT / PT;1;Não Eleito;2014-10-05 20:51:30;ES;80000000395;#NE;680;2014;0,0601;114691;1909594
ES;3;Governador;50;CAMILA COSTA VALADÃO;CAMILA VALADÃO;PSOL;PSOL;1;Não Eleito;2014-10-05 20:51:30;ES;80000000485;#NE;680;2014;0,011;21044;1909594
ES;3;Governador;21;MAURO RIBEIRO;MAURO RIBEIRO;PCB;PCB / PSTU;1;Não Eleito;2014-10-05 20:51:30;ES;80000000006;#NE;680;2014;0,0011;2126;1890508
GO;3;Governador;45;MARCONI FERREIRA PERILLO JUNIOR;MARCONI PERILLO;PSDB;PRB / PP / PDT / PTB / PSL / PR / PPS / PHS / PMN / PTC / PV / PSDB / PEN / PSD / PT do B / PROS;1;Eleito;2016-12-20 15:40:15;GO;90000000637;#NE;680;2014;0,51;1451330;2845478
GO;3;Governador;15;IRIS REZENDE MACHADO;IRIS REZENDE;PMDB;PMDB / DEM / SD / PC do B / PRTB / PTN / PPL;1;Não Eleito;2016-12-20 15:40:15;GO;90000000608;#NE;680;2014;0,3158;898645;2845478
GO;3;Governador;40;VANDERLAN VIEIRA CARDOSO;VANDERLAN CARDOSO;PSB;PSB / PSC / PRP;1;Não Eleito;2016-12-20 15:40:15;GO;90000000024;#NE;680;2014;0,1666;474090;2845478
GO;3;Governador;50;WESLEI GARCIA DE PAULO;PROFESSOR WESLEI;PSOL;PSOL;1;Não Eleito;2016-12-20 15:40:15;GO;90000000510;#NE;680;2014;0,0037;10522;2845478
GO;3;Governador;21;MARTA JANE DA SILVA;MARTA JANE;PCB;PCB / PSTU;1;Não Eleito;2016-12-20 15:40:15;GO;90000000907;#NE;680;2014;0,002;5786;2845478
GO;3;Governador;27;ALEXANDRE SILVA DE MAGALHÃES;ALEXANDRE MAGALHÃES;PSDC;PSDC;1;Não Eleito;2016-12-20 15:40:15;GO;90000000002;#NE;680;2014;0,0018;5105;2845478
GO;3;Governador;13;ANTÔNIO ROBERTO OTONI GOMIDE;ANTÔNIO GOMIDE;PT;PT;1;Não Eleito;2016-12-20 15:40:15;GO;90000000316;#NE;680;2014;0;0;2845478
MA;3;Governador;65;FLAVIO DINO DE CASTRO E COSTA;FLAVIO DINO;PC do B;PP / SD / PROS / PSDB / PC do B / PSB / PDT / PTC / PPS;1;Eleito;2016-10-26 14:47:51;MA;100000000014;#NE;680;2014;0,6352;1877064;2954960
MA;3;Governador;15;EDISON LOBÃO FILHO;LOBÃO FILHO;PMDB;PMDB / PSL / PEN / PSDC / PRP / PTN / PMN / PSC / PHS / PRTB / PR / PRB / DEM / PSD / PV / PT / PTB / PT do B;1;Não Eleito;2016-10-26 14:47:51;MA;100000000376;#NE;680;2014;0,3369;995619;2954960
MA;3;Governador;50;LUÍS ANTONIO CÂMARA PEDROSA;PEDROSA;PSOL;PSOL;1;Não Eleito;2016-10-26 14:47:51;MA;100000000200;#NE;680;2014;0,0114;33749;2954960
MA;3;Governador;16;SAULO COSTA ARCANGELI;SAULO ARCANGELI;PSTU;PSTU;1;Não Eleito;2016-10-26 14:47:51;MA;100000000001;#NE;680;2014;0,0092;27304;2954960
MA;3;Governador;54;JOSE LUIS TEIXEIRA DO LAGO NETO;ZELUIS LAGO;PPL;PPL;1;Não Eleito;2016-10-26 14:47:51;MA;100000000133;#NE;680;2014;0,006;17650;2954960
MA;3;Governador;21;JOSIVALDO CORREA SILVA;PROF,JOSIVALDO;PCB;PCB;1;Não Eleito;2016-10-26 14:47:51;MA;100000000534;#NE;680;2014;0,0012;3574;2954960
MG;3;Governador;13;FERNANDO DAMATA PIMENTEL;FERNANDO PIMENTEL;PT;PT / PMDB / PC do B / PROS / PRB;1;Eleito;2014-10-05 22:33:33;MG;130000000829;#NE;680;2014;0,5298;5362870;10123030
